gene,log2FC,p_value,t_statistic,mean_ALS,mean_Control,adj_p_value,neg_log10_pval,dataset,description,n_ALS,n_Control,significant
Gene_21,-0.0593982045914346,0.4247636518596396,-0.7986264028293514,0.0012795766575828,0.0606777812490175,0.9907071470529124,0.3718526540550778,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_22,-0.0213800272253886,0.7658225671525251,-0.2979532817194903,0.00961391730283,0.0309939445282187,0.9907071470529124,0.1158718400705872,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_23,-0.0147190899496143,0.8456050039185208,-0.1947975199139946,0.0577891000788608,0.0725081900284751,0.9907071470529124,0.0728324557292825,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_24,-0.0546887937343217,0.4517630316922094,-0.7528779311980199,-0.019139683424594,0.0355491103097276,0.9907071470529124,0.3450893107971656,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_25,-0.019826265255937,0.7879426985881907,-0.2690806867585504,-0.0281405805989365,-0.0083143153429995,0.9907071470529124,0.1035053644797476,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_26,0.0497468836862838,0.4991726742764832,0.676125235198737,0.0466117761779209,-0.0031351075083629,0.9907071470529124,0.3017491968347559,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_27,0.0243615922182189,0.7453935277532482,0.3248407612753519,-0.0276741264971075,-0.0520357187153264,0.9907071470529124,0.1276143825417352,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_28,0.0503351236457068,0.4953794741393706,0.6821157828220039,0.0307188710306979,-0.0196162526150088,0.9907071470529124,0.3050619922045313,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_29,0.0272159846131023,0.700282204060928,0.3850891079174365,0.0360371351219788,0.0088211505088764,0.9907071470529124,0.1547269100311903,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_30,-0.0419477964820843,0.5768163532577254,-0.5582887113914415,-0.0882177986433451,-0.0462700021612608,0.9907071470529124,0.2389624354784428,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_31,-0.0773025894264722,0.2816016627774094,-1.0775154317085212,-0.0216429632947017,0.0556596261317704,0.9907071470529124,0.5503647851374484,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_32,-0.0148156358278579,0.831912308668366,-0.2123246582344388,-0.0380133495962683,-0.0231977137684103,0.9907071470529124,0.0799224499936106,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_33,-0.048500777498589,0.4766755233711222,-0.7120225582577693,-0.0669262923487011,-0.018425514850112,0.9907071470529124,0.3217771479214416,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_34,-0.0572212591574844,0.4360701339835144,-0.7792700374087025,0.0118231536045325,0.0690444127620169,0.9907071470529124,0.3604436567118507,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_35,-0.0031451364849125,0.96544490004339,-0.0433366281157817,0.0534648878130884,0.0566100242980009,0.999297494542208,0.0152725072703474,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_36,0.1395034211305443,0.0581829615732212,1.8972618401973425,0.0162231309656173,-0.1232802901649269,0.9524722069489464,1.2352041764857822,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_37,0.0124728056096867,0.8674645680022589,0.1669379134321303,0.0235116179902183,0.0110388123805316,0.991359860487542,0.0617482551369283,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_38,0.0975404273313348,0.1848589938200853,1.327180106509448,-0.0391525873648657,-0.1366930146962006,0.9907071470529124,0.7331594151400194,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_39,0.0241377291033866,0.7442720621245793,0.3263234185295054,0.0087183464370454,-0.0154193826663411,0.9907071470529124,0.1282682828929232,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_40,-0.0396711325751162,0.5877233837641196,-0.5423754766214424,-0.0002865182782903,0.0393846142968259,0.9907071470529124,0.2308270296570607,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_41,0.0382219211587781,0.6186169205845167,0.4980216945659719,0.0340683679962111,-0.0041535531625669,0.9907071470529124,0.2085782052252001,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_42,0.1168793522430922,0.0981854023072874,1.655807205201414,0.0386545962923238,-0.0782247559507684,0.9856218091694384,1.007953076048557,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_43,-0.0743489418745475,0.334975218909031,-0.9647708051363042,-0.1073110442824196,-0.0329621024078721,0.9907071470529124,0.4749873203934373,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_44,-0.0855246789664526,0.2628866535644866,-1.1204485528173975,0.024948286994243,0.1104729659606957,0.9907071470529124,0.5802314619363499,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_45,0.0505229313014028,0.5129673459444923,0.6545404238354053,0.0234326404485734,-0.0270902908528294,0.9907071470529124,0.2899102799710016,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_46,-0.047826088402984,0.5302364060737046,-0.6279412724926946,-0.0841380706688753,-0.0363119822658913,0.9907071470529124,0.2755304568856216,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_47,-0.0556547187053941,0.4431709815123962,-0.7672617170945647,-0.1075748538151886,-0.0519201351097945,0.9907071470529124,0.3534286846100275,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_48,-0.0058415522772279,0.9361418898771984,-0.0801471902233554,-0.0037530062320816,0.0020885460451463,0.9989564535601106,0.0286583207912916,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_49,0.0890147384221407,0.2186630792724126,1.2311375707995542,0.0474287572469379,-0.0415859811752027,0.9907071470529124,0.6602245403362691,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_50,0.0434067339516364,0.525196450546471,0.6356575322144375,-0.0122351281186311,-0.0556418620702676,0.9907071470529124,0.2796782176802171,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_51,-0.144124050531643,0.043806016692081,-2.0194016101678933,-0.1185665205662785,0.0255575299653645,0.9524722069489464,1.3584662356896238,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_52,0.0918623182902984,0.2167086735336145,1.236383981261033,0.0869216396717876,-0.0049406786185107,0.9907071470529124,0.6641237061587056,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_53,-0.1974235049060525,0.0070010021122396,-2.704363673629508,-0.0283136741421007,0.1691098307639517,0.9524722069489464,2.1548397913190724,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_54,-0.1139544651503357,0.1108604432276396,-1.596250253178809,-0.0311594771131943,0.0827949880371414,0.9856218091694384,0.9552233894010234,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_55,-0.0045688884280113,0.9501084793485908,-0.0625918060815045,0.0107916986848452,0.0153605871128566,0.9989564535601106,0.0222268059818174,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_56,0.0069504570450572,0.9279449521736312,0.0904615596321173,0.0338409555166692,0.0268904984716119,0.9989564535601106,0.0324777863633866,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_57,0.0230614714461511,0.7611673559535652,0.3040605491584968,0.0326594524654422,0.0095979810192911,0.9907071470529124,0.1185198454943645,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_58,-0.0182364483080773,0.8071564037960004,-0.2441836011034408,-4.783352866978016e-05,0.0181886147794075,0.9907071470529124,0.0930423032901512,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_59,0.0136002318147199,0.8434287800383106,0.1975790234635213,0.0547228978981048,0.0411226660833848,0.9907071470529124,0.0739515837828876,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_60,-0.0373169419507994,0.5957290146446923,-0.5307824471932493,-0.0089295553234152,0.0283873866273842,0.9907071470529124,0.2249512473189504,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_61,-0.0997131675885854,0.1732480992234435,-1.3631573318465655,-0.0532432354028105,0.0464699321857748,0.9907071470529124,0.7613315215144137,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_62,0.0021255957156173,0.9768943806790408,0.0289724557835351,-0.0112541693303592,-0.0133797650459765,0.999297494542208,0.0101523885512914,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_63,0.1310482191035966,0.0742146875549865,1.7878200269103797,-0.0543363610297572,-0.1853845801333539,0.9854941980149856,1.1295101365963531,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_64,0.069921711299379,0.3447526717445892,0.9454216276615856,0.0744907122036022,0.0045690009042231,0.9907071470529124,0.4624923594684693,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_65,-0.1995173268268756,0.0085295296110678,-2.6374209616238877,-0.1156510839272859,0.0838662428995896,0.9524722069489464,2.06907491876806,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_66,-0.07990404757704,0.2854454439297699,-1.0689406520009226,-8.343538919967236e-05,0.0798206121878403,0.9907071470529124,0.5444768844910735,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_67,0.0411922103733977,0.575511979973856,0.5602012058287416,0.0237552816482342,-0.0174369287251635,0.9907071470529124,0.2399456315782607,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_68,-0.0992179781954908,0.1662803526228015,-1.3856220886495356,-0.0535942589269482,0.0456237192685426,0.9907071470529124,0.7791590631772823,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_69,0.0274888409520994,0.705711609767459,0.3777677462758599,0.0081642570527075,-0.0193245838993918,0.9907071470529124,0.1513727378634861,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_70,0.0134868771831696,0.8467323767886779,0.1933571819603935,0.0261003426192565,0.0126134654360868,0.9907071470529124,0.0722538336477001,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_71,-0.0188688762641471,0.8106551686437993,-0.2396666249677867,0.021646736694139,0.0405156129582862,0.9907071470529124,0.0911638439421111,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_72,-0.0012449613788182,0.9868388736902074,-0.0165013566487276,-0.0301357912144154,-0.0288908298355972,0.999297494542208,0.0057537510584441,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_73,-0.0260466507139019,0.7249979827479206,-0.3519208039646439,0.034784923080318,0.0608315737942199,0.9907071470529124,0.1396632018188897,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_74,0.0595982497679804,0.4317214699996561,0.786679898083455,-0.0437259016704269,-0.1033241514384073,0.9907071470529124,0.3647963528482049,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_75,0.0037897506162505,0.9593055731546782,0.0510423423121561,-0.000250482235039,-0.0040402328512895,0.999297494542208,0.0180430324576895,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_76,0.0344739941645607,0.6522122837953771,0.4508744719264146,-0.01431569202163,-0.0487896861861907,0.9907071470529124,0.1856110259313022,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_77,-0.018956760273417,0.7951719718752872,-0.2596942327565195,0.0041595933028029,0.02311635357622,0.9907071470529124,0.0995389362999093,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_78,-0.0287500160667486,0.6906970099668359,-0.3980653136549663,-0.0004035056179417,0.0283465104488069,0.9907071470529124,0.1607124240542477,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_79,-0.0182737356244245,0.81016590662954,-0.2402979756220726,-0.0232149496509668,-0.0049412140265423,0.9907071470529124,0.0914260367315474,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_80,-0.1832890376243039,0.0134452350397632,-2.4777115289375984,-0.0348902637649921,0.1483987738593117,0.9524722069489464,1.8714316013558912,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_81,0.1489512363107999,0.0440126801486468,2.017420590274011,0.0811206559695018,-0.067830580341298,0.9524722069489464,1.356422184303966,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_82,0.0780990469269913,0.2781667760860557,1.085245622394403,0.0608579011521039,-0.0172411457748874,0.9907071470529124,0.5556947428707449,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_83,-0.0282738824615495,0.7121857785980353,-0.3690639433072697,0.024587976664753,0.0528618591263026,0.9907071470529124,0.147406702857867,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_84,-0.0256230463703837,0.7282556036447487,-0.3475786626642866,0.0233862274254321,0.0490092737958158,0.9907071470529124,0.1377161649596429,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_85,0.0382273046086497,0.6052807990090678,0.5170430718855116,0.0009132026538588,-0.0373141019547908,0.9907071470529124,0.2180431027546748,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_86,0.0059655612636531,0.9353156313951596,0.0811864825513727,0.0704606686052683,0.0644951073416152,0.9989564535601106,0.0290418074786594,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_87,-0.0060628939006445,0.9332818885723944,-0.0837449608123261,0.0236916384440642,0.0297545323447088,0.9989564535601106,0.0299871620826911,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_88,-0.0244544683750391,0.7399702703385476,-0.3320173923728825,-0.0293599569189028,-0.0049054885438636,0.9907071470529124,0.1307857284950837,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_89,0.0156431686177323,0.8299207380350277,0.2148792605474971,0.0151174086076397,-0.0005257600100926,0.9907071470529124,0.0809633831392921,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_90,0.0651405278597544,0.3562983062266808,0.923019490699928,0.0239197218431327,-0.0412208060166217,0.9907071470529124,0.4481862421961485,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_91,0.0799875171015214,0.2533212653806122,1.143210847056353,0.0403259071710939,-0.0396616099304275,0.9907071470529124,0.5963283512682588,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_92,-0.0139393750533751,0.8432939405062199,-0.1977514164639882,0.0178093118422317,0.0317486868956069,0.9907071470529124,0.0740210202873478,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_93,-0.0369758786728661,0.6217471892596744,-0.493583245505801,0.0088926054648574,0.0458684841377235,0.9907071470529124,0.2063861693741062,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_94,-0.1800876956672468,0.0147431690359346,-2.4443710351875243,-0.128787983880878,0.0512997117863688,0.9524722069489464,1.8314091550867464,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_95,-0.0950999038408542,0.1866898450055004,-1.3216616337037617,-0.0985023076982973,-0.003402403857443,0.9907071470529124,0.7288793048576746,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_96,0.0718946012744531,0.3270158173195123,0.9807929767004616,-0.0144437557303409,-0.086338357004794,0.9907071470529124,0.4854312405860479,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_97,0.1058272670632816,0.1514457380432956,1.4359288357346107,0.064408094320896,-0.0414191727423856,0.9907071470529124,0.819742943990571,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_98,0.0594282259519652,0.4215305073395764,0.8042166216256283,0.1108642501155791,0.0514360241636139,0.9907071470529124,0.3751709887977576,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_99,0.0088789048079588,0.9022671523750418,0.1228400567928817,-0.0314793238377958,-0.0403582286457546,0.9985472752828124,0.0446648531188002,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_100,0.1485518772373545,0.046483897716344,1.994321544731498,0.0695770450486394,-0.0789748321887151,0.9524722069489464,1.3326974631106538,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_101,0.01423637709018,0.8424057488117492,0.1988871211930702,-0.0540496787880267,-0.0682860558782067,0.9907071470529124,0.0744786780658021,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_102,-0.0113754728854863,0.8800745011594029,-0.1509269843511047,0.082053330548025,0.0934288034335113,0.9938729544431428,0.0554805618579121,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_103,0.1061152395002533,0.1644966345634601,1.3914865888853507,0.011946890016523,-0.0941683494837302,0.9907071470529124,0.7838429828536404,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_104,5.3615857668873335e-05,0.9994297752886104,0.0007149125635548,-0.0246018162937239,-0.0246554321513928,0.9999144004500876,0.0002477160792304,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_105,0.0650689191935888,0.3730203057478656,0.8913709741566008,0.0200777227493175,-0.0449911964442713,0.9907071470529124,0.4282675262765195,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_106,0.0892237862892788,0.2483093395669773,1.1553773892249342,0.0425740239458639,-0.0466497623434148,0.9907071470529124,0.6050069451811588,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_107,0.0276816260865257,0.7044787764494803,0.379428386235569,0.0712823347045271,0.0436007086180013,0.9907071470529124,0.1521320861738131,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_108,0.032912820710374,0.647587859744754,0.4573027466849358,-0.0485068158480221,-0.0814196365583962,0.9907071470529124,0.1887013015111328,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_109,-0.0428852148746306,0.563448595452214,-0.5779875530972411,0.0538298385848277,0.0967150534594583,0.9907071470529124,0.2491456993690394,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_110,-0.1161627817073071,0.1207716776999649,-1.5533332216072455,-0.0192536258458722,0.0969091558614348,0.9856218091694384,0.9180349006550876,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_111,-0.1113658409829762,0.1254032460007389,-1.534221140191457,-0.0832662047455679,0.0280996362374082,0.9856218091694384,0.9016912218628458,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_112,-0.0340015037987912,0.6513181002224414,-0.4521159880729302,0.0194094335780224,0.0534109373768136,0.9907071470529124,0.1862068525529254,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_113,-0.0273470307535616,0.7209385638487771,-0.3573409991367605,-0.0013955033628715,0.0259515273906901,0.9907071470529124,0.1421017429342263,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_114,0.0078010280878786,0.9163200565097068,0.105106205049396,0.0153221063018933,0.0075210782140147,0.9989564535601106,0.0379528074476864,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_115,-0.0086914949558117,0.9026867368556624,-0.1223100356177546,0.0233532705195392,0.032044765475351,0.9985472752828124,0.0444629385668603,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_116,-0.084387057196446,0.2542853096792027,-1.140889940261889,-0.0843997097800126,-1.265258356660543e-05,0.9907071470529124,0.5946787287332312,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_117,0.1402514176820318,0.0539943215114138,1.9299590676039449,0.1173641995527918,-0.02288721812924,0.9524722069489464,1.2676519117683942,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_118,0.1216614783297211,0.0909889587925128,1.6924120197145789,0.063508226280837,-0.058153252048884,0.9856218091694384,1.0410113046724263,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_119,0.0273547328462619,0.7068455669134524,0.3762412140296737,-0.0632014459067375,-0.0905561787529994,0.9907071470529124,0.1506754613990162,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_120,0.0260741552618449,0.7144975278236186,0.3659628562067712,0.0532870442206767,0.0272128889588318,0.9907071470529124,0.1459992695383967,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_121,-0.0539416503470257,0.4841669743462844,-0.6999689591653379,0.0069758145214026,0.0609174648684283,0.9907071470529124,0.3150048376706826,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_122,-0.0803705476997549,0.2490305783368407,-1.1536160461475629,-0.0281159200608556,0.0522546276388993,0.9907071470529124,0.6037473228335811,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_123,-0.0685183630907211,0.3531660056686468,-0.929051013561406,-0.0641585163571999,0.0043598467335211,0.9907071470529124,0.4520211065130411,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_124,0.0953493616644441,0.1991146172075364,1.2852298454641151,0.0738734295301485,-0.0214759321342956,0.9907071470529124,0.7008968568005398,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_125,0.0286217759961352,0.6992243617184075,0.3865179671910072,0.0466226436445001,0.0180008676483648,0.9907071470529124,0.1553834488296603,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_126,-0.1246671894911022,0.0842171735878658,-1.729053332205737,-0.0796863443045179,0.0449808451865843,0.9856218091694384,1.0745993380260743,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_127,0.0832685824095996,0.2477166520983567,1.15682748248117,0.0256783042040533,-0.0575902782055462,0.9907071470529124,0.6060447981321695,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_128,-0.0692429915502562,0.3542510441259997,-0.9269578578184362,-0.035758529370743,0.0334844621795131,0.9907071470529124,0.4506888610311249,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_129,-0.0106926261793518,0.8847361925014146,-0.1450180116900971,0.0014015171071379,0.0120941432864898,0.995369683293682,0.0531862063872389,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_130,0.0100132173924604,0.8952411619068501,0.1317205766087755,-0.0463707375960563,-0.0563839549885167,0.9985472752828124,0.0480599577821662,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_131,0.0167202476036575,0.8211579384697273,0.2261363044090146,0.0210459891244532,0.0043257415207956,0.9907071470529124,0.0855733042580096,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_132,-0.1120942423693825,0.112560503836917,-1.5886794114857343,-0.1206915575259765,-0.0085973151565939,0.9856218091694384,0.9486139716047328,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_133,0.0161855329756246,0.8268523382265383,0.2188178756791329,0.0093292982672481,-0.0068562347083765,0.9907071470529124,0.082572041135735,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_134,0.0580825851232246,0.427789125593367,0.7934177767400601,0.0021455065305882,-0.0559370785926363,0.9907071470529124,0.3687702593970753,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_135,-0.0145498640602041,0.8405747307353877,-0.2012292029558047,-0.0065938065465604,0.0079560575136437,0.9907071470529124,0.0754236698470406,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_136,0.0959479168090327,0.1871975995222037,1.3201382840724742,0.064576602344985,-0.0313713144640475,0.9907071470529124,0.7276997246200557,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_137,-0.0692764355949642,0.3483186700905591,-0.9384522191647824,-0.0389699865219303,0.0303064490730339,0.9907071470529124,0.4580232464720041,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_138,-0.0446358407338274,0.5538019756507553,-0.5923432103068652,-0.0278256955835473,0.01681014515028,0.9907071470529124,0.2566454992717539,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_139,0.0516859715496147,0.4991703955207167,0.676128826704844,-0.0225310822542878,-0.0742170538039026,0.9907071470529124,0.3017511794218744,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_140,0.0421182337499156,0.548359617996093,0.6004963238397629,0.0505457425622226,0.0084275088123069,0.9907071470529124,0.2609345347855143,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_141,0.0050161038048392,0.9449522550252194,0.0690704147512157,-0.0042629936037766,-0.0092790974086159,0.9989564535601106,0.024590134245148,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_142,-0.0229140967997605,0.7522362161152113,-0.315809578388498,-0.0061005157643925,0.016813581035368,0.9907071470529124,0.1236457614741542,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_143,-0.1132150771218097,0.1019780685078464,-1.6373739693047842,-0.0239029637458837,0.0893121133759259,0.9856218091694384,0.9914932179454032,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_144,0.0479385000675777,0.52889615042377,0.6299895588938159,0.1145799406981222,0.0666414406305445,0.9907071470529124,0.276629593986496,GSE112676,iPSC motor neurons from ALS patients,,,
