#queryIndex	queryItem	stringId	preferredName	annotation
18	ARPC1B	9606.ENSP00000389631	ARPC1B	Actin-related protein 2/3 complex subunit 1B; Component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility. In addition to its role in the cytoplasmic cytoskeleton, the Arp2/3 complex also promotes actin polymerization in the nucleus, thereby regulating gene transcription and repair of damaged DNA. The Arp2/3 complex promotes homologous recombination (HR) repair in response to DN [...] 
19	ASAH1	9606.ENSP00000371152	ASAH1	Acid ceramidase subunit alpha; Lysosomal ceramidase that hydrolyzes sphingolipid ceramides into sphingosine and free fatty acids at acidic pH. Ceramides, sphingosine, and its phosphorylated form sphingosine-1-phosphate are bioactive lipids that mediate cellular signaling pathways regulating several biological processes including cell proliferation, apoptosis and differentiation. Has a higher catalytic efficiency towards C12-ceramides versus other ceramides. Also catalyzes the reverse reaction allowing the synthesis of ceramides from fatty acids and sphingosine. For the reverse syntheti [...] 
20	ATIC	9606.ENSP00000236959	ATIC	Bifunctional purine biosynthesis protein PURH, N-terminally processed; Bifunctional enzyme that catalyzes 2 steps in purine biosynthesis; Belongs to the PurH family.
21	BDH1	9606.ENSP00000376184	BDH1	D-beta-hydroxybutyrate dehydrogenase, mitochondrial; 3-hydroxybutyrate dehydrogenase 1; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
22	BLVRA	9606.ENSP00000385757	BLVRA	Biliverdin reductase A; Reduces the gamma-methene bridge of the open tetrapyrrole, biliverdin IX alpha, to bilirubin with the concomitant oxidation of a NADH or NADPH cofactor.
23	BPHL	9606.ENSP00000369739	BPHL	Valacyclovir hydrolase; Serine hydrolase that catalyzes the hydrolytic activation of amino acid ester prodrugs of nucleoside analogs such as valacyclovir and valganciclovir. Activates valacyclovir to acyclovir. May play a role in detoxification processes. It is a specific alpha-amino acid ester hydrolase that prefers small, hydrophobic, and aromatic side chains and does not have a stringent requirement for the leaving group other than preferring a primary alcohol; Belongs to the AB hydrolase superfamily. Lipase family.
24	C1S	9606.ENSP00000385035	C1S	Complement C1s subcomponent heavy chain; C1s B chain is a serine protease that combines with C1q and C1r to form C1, the first component of the classical pathway of the complement system. C1r activates C1s so that it can, in turn, activate C2 and C4.
25	C2orf88	9606.ENSP00000345107	C2orf88	Small membrane A-kinase anchor protein; Binds to type I regulatory subunits of protein kinase A (PKA- RI) and may anchor/target them to the plasma membrane. Belongs to the small membrane AKAP family.
26	CD34	9606.ENSP00000310036	CD34	Hematopoietic progenitor cell antigen CD34; Possible adhesion molecule with a role in early hematopoiesis by mediating the attachment of stem cells to the bone marrow extracellular matrix or directly to stromal cells. Could act as a scaffold for the attachment of lineage specific glycans, allowing stem cells to bind to lectins expressed by stromal cells or other marrow components. Presents carbohydrate ligands to selectins.
27	CD53	9606.ENSP00000497382	CD53	Leukocyte surface antigen CD53; Required for efficient formation of myofibers in regenerating muscle at the level of cell fusion. May be involved in growth regulation in hematopoietic cells (By similarity).
28	CFB	9606.ENSP00000416561	CFB	Complement factor B Ba fragment; Factor B which is part of the alternate pathway of the complement system is cleaved by factor D into 2 fragments: Ba and Bb. Bb, a serine protease, then combines with complement factor 3b to generate the C3 or C5 convertase. It has also been implicated in proliferation and differentiation of preactivated B-lymphocytes, rapid spreading of peripheral blood monocytes, stimulation of lymphocyte blastogenesis and lysis of erythrocytes. Ba inhibits the proliferation of preactivated B-lymphocytes.
29	CFI	9606.ENSP00000378131	CFI	Complement factor I heavy chain; Trypsin-like serine protease that plays an essential role in regulating the immune response by controlling all complement pathways. Inhibits these pathways by cleaving three peptide bonds in the alpha- chain of C3b and two bonds in the alpha-chain of C4b thereby inactivating these proteins. Essential cofactors for these reactions include factor H and C4BP in the fluid phase and membrane cofactor protein/CD46 and CR1 on cell surfaces. The presence of these cofactors on healthy cells allows degradation of deposited C3b by CFI in order to prevent undesired [...] 
30	CFL2	9606.ENSP00000298159	CFL2	Cofilin-2; Controls reversibly actin polymerization and depolymerization in a pH-sensitive manner. Its F-actin depolymerization activity is regulated by association with CSPR3. It has the ability to bind G- and F-actin in a 1:1 ratio of cofilin to actin. It is the major component of intranuclear and cytoplasmic actin rods. Required for muscle maintenance. May play a role during the exchange of alpha-actin forms during the early postnatal remodeling of the sarcomere (By similarity); Belongs to the actin-binding proteins ADF family.
31	CKAP5	9606.ENSP00000432768	CKAP5	Cytoskeleton-associated protein 5; Binds to the plus end of microtubules and regulates microtubule dynamics and microtubule organization. Acts as processive microtubule polymerase. Promotes cytoplasmic microtubule nucleation and elongation. Plays a major role in organizing spindle poles. In spindle formation protects kinetochore microtubules from depolymerization by KIF2C and has an essential role in centrosomal microtubule assembly independently of KIF2C activity. Contributes to centrosome integrity. Acts as component of the TACC3/ch-TOG/clathrin complex proposed to contribute to stab [...] 
32	COL5A3	9606.ENSP00000264828	COL5A3	Collagen alpha-3(V) chain; Type V collagen is a member of group I collagen (fibrillar forming collagen). It is a minor connective tissue component of nearly ubiquitous distribution. Type V collagen binds to DNA, heparan sulfate, thrombospondin, heparin, and insulin.
33	COX5A	9606.ENSP00000317780	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial; Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol- cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane [...] 
34	CPM	9606.ENSP00000339157	CPM	Carboxypeptidase M; Specifically removes C-terminal basic residues (Arg or Lys) from peptides and proteins. It is believed to play important roles in the control of peptide hormone and growth factor activity at the cell surface, and in the membrane-localized degradation of extracellular proteins; Belongs to the peptidase M14 family.
35	CRABP2	9606.ENSP00000482841	CRABP2	Cellular retinoic acid-binding protein 2; Transports retinoic acid to the nucleus. Regulates the access of retinoic acid to the nuclear retinoic acid receptors.
36	DBN1	9606.ENSP00000377195	DBN1	Drebrin; Actin cytoskeleton-organizing protein that plays a role in the formation of cell projections. Required for actin polymerization at immunological synapses (IS) and for the recruitment of the chemokine receptor CXCR4 to IS. Plays a role in dendritic spine morphogenesis and organization, including the localization of the dopamine receptor DRD1 to the dendritic spines (By similarity). Involved in memory-related synaptic plasticity in the hippocampus (By similarity).
37	DBT	9606.ENSP00000359151	DBT	2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase); The branched-chain alpha-keto dehydrogenase complex catalyzes the overall conversion of alpha-keto acids to acyl-CoA and CO(2). It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1), lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3). Within this complex, the catalytic function of this enzyme is to accept, and to transfer to coenzyme A, acyl groups that are generated by the branched-chain alpha-keto acid decarboxylase component.
38	FCHSD1	9606.ENSP00000399259	FCHSD1	F-BAR and double SH3 domains protein 1; Promotes actin polymerization mediated by SNX9 and WASL.
39	FDFT1	9606.ENSP00000491537	FDFT1	Squalene synthase; Farnesyl-diphosphate farnesyltransferase 1; Belongs to the phytoene/squalene synthase family.
40	FECH	9606.ENSP00000498358	FECH	Ferrochelatase, mitochondrial; Catalyzes the ferrous insertion into protoporphyrin IX; Belongs to the ferrochelatase family.
41	GBP2	9606.ENSP00000359497	GBP2	Guanylate-binding protein 2; Hydrolyzes GTP to GMP in 2 consecutive cleavage reactions, but the major reaction product is GDP. Exhibits antiviral activity against influenza virus. Promotes oxidative killing and delivers antimicrobial peptides to autophagolysosomes, providing broad host protection against different pathogen classes (By similarity); Belongs to the TRAFAC class dynamin-like GTPase superfamily. GB1/RHD3-type GTPase family. GB1 subfamily.
42	GCLM	9606.ENSP00000359258	GCLM	Glutamate-cysteine ligase modifier subunit; Belongs to the aldo/keto reductase family. Glutamate-- cysteine ligase light chain subfamily.
43	GCN1L1	9606.ENSP00000300648	GCN1	eIF-2-alpha kinase activator GCN1; Acts as a positive activator of the EIF2AK4/GCN2 protein kinase activity in response to amino acid starvation. Forms a complex with EIF2AK4/GCN2 on translating ribosomes; during this process, GCN1 seems to act as a chaperone to facilitate delivery of uncharged tRNAs that enter the A site of ribosomes to the tRNA-binding domain of EIF2AK4/GCN2, and hence stimulating EIF2AK4/GCN2 kinase activity. Participates in the repression of global protein synthesis and in gene- specific mRNA translation activation, such as the transcriptional activator ATF4, by pr [...] 
44	GGT5	9606.ENSP00000381340	GGT5	Glutathione hydrolase 5 heavy chain; Cleaves the gamma-glutamyl peptide bond of glutathione conjugates, but maybe not glutathione itself. Converts leukotriene C4 (LTC4) to leukotriene D4 (LTD4).
45	GNAS	9606.ENSP00000360141	GNAS	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas; Guanine nucleotide-binding proteins (G proteins) function as transducers in numerous signaling pathways controlled by G protein- coupled receptors (GPCRs). Signaling involves the activation of adenylyl cyclases, resulting in increased levels of the signaling molecule cAMP. GNAS functions downstream of several GPCRs, including beta-adrenergic receptors. XLas isoforms interact with the same set of receptors as GNAS isoforms (By similarity).
46	GPX3	9606.ENSP00000373477	GPX3	Glutathione peroxidase 3; Protects cells and enzymes from oxidative damage, by catalyzing the reduction of hydrogen peroxide, lipid peroxides and organic hydroperoxide, by glutathione.
47	GSTM1	9606.ENSP00000311469	GSTM1	Glutathione S-transferase Mu 1; Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles.
48	GTF2A2	9606.ENSP00000379372	GTF2A2	Transcription initiation factor IIA subunit 2; TFIIA is a component of the transcription machinery of RNA polymerase II and plays an important role in transcriptional activation. TFIIA in a complex with TBP mediates transcriptional activity.
49	HLA-DRA	9606.ENSP00000378786	HLA-DRA	HLA class II histocompatibility antigen, DR alpha chain; Binds peptides derived from antigens that access the endocytic route of antigen presenting cells (APC) and presents them on the cell surface for recognition by the CD4 T-cells. The peptide binding cleft accommodates peptides of 10-30 residues. The peptides presented by MHC class II molecules are generated mostly by degradation of proteins that access the endocytic route, where they are processed by lysosomal proteases and other hydrolases. Exogenous antigens that have been endocytosed by the APC are thus readily available for pre [...] 
50	HLA-DRB5	9606.ENSP00000364114	HLA-DRB5	HLA class II histocompatibility antigen, DR beta 5 chain; Binds peptides derived from antigens that access the endocytic route of antigen presenting cells (APC) and presents them on the cell surface for recognition by the CD4 T-cells. The peptide binding cleft accommodates peptides of 10-30 residues. The peptides presented by MHC class II molecules are generated mostly by degradation of proteins that access the endocytic route, where they are processed by lysosomal proteases and other hydrolases. Exogenous antigens that have been endocytosed by the APC are thus readily available for pr [...] 
51	HMGCS1	9606.ENSP00000322706	HMGCS1	Hydroxymethylglutaryl-CoA synthase, cytoplasmic; This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase.
52	HSPD1	9606.ENSP00000340019	HSPD1	60 kDa heat shock protein, mitochondrial; Chaperonin implicated in mitochondrial protein import and macromolecular assembly. Together with Hsp10, facilitates the correct folding of imported proteins. May also prevent misfolding and promote the refolding and proper assembly of unfolded polypeptides generated under stress conditions in the mitochondrial matrix. The functional units of these chaperonins consist of heptameric rings of the large subunit Hsp60, which function as a back- to-back double ring. In a cyclic reaction, Hsp60 ring complexes bind one unfolded substrate protein per ri [...] 
53	ICAM1	9606.ENSP00000264832	ICAM1	Intercellular adhesion molecule 1; ICAM proteins are ligands for the leukocyte adhesion protein LFA-1 (integrin alpha-L/beta-2). During leukocyte trans-endothelial migration, ICAM1 engagement promotes the assembly of endothelial apical cups through ARHGEF26/SGEF and RHOG activation.  (Microbial infection) Acts as a receptor for Coxsackievirus A21 capsid proteins.
54	IGF2BP2	9606.ENSP00000410242	IGF2BP2	Insulin-like growth factor 2 mRNA-binding protein 2; RNA-binding factor that recruits target transcripts to cytoplasmic protein-RNA complexes (mRNPs). This transcript 'caging' into mRNPs allows mRNA transport and transient storage. It also modulates the rate and location at which target transcripts encounter the translational apparatus and shields them from endonuclease attacks or microRNA-mediated degradation (By similarity). Binds to the 5'-UTR of the insulin-like growth factor 2 (IGF2) mRNAs. Binding is isoform- specific. Binds to beta-actin/ACTB and MYC transcripts.
56	ILK	9606.ENSP00000379975	ILK	Integrin-linked protein kinase; Receptor-proximal protein kinase regulating integrin-mediated signal transduction. May act as a mediator of inside-out integrin signaling. Focal adhesion protein part of the complex ILK-PINCH. This complex is considered to be one of the convergence points of integrin- and growth factor-signaling pathway. Could be implicated in mediating cell architecture, adhesion to integrin substrates and anchorage-dependent growth in epithelial cells. Phosphorylates beta-1 and beta-3 integrin subunit on serine and threonine residues, but also AKT1 and GSK3B.
57	IMPA1	9606.ENSP00000408526	IMPA1	Inositol monophosphatase 1; Responsible for the provision of inositol required for synthesis of phosphatidylinositol and polyphosphoinositides and has been implicated as the pharmacological target for lithium action in brain. Has broad substrate specificity and can use myo-inositol monophosphates, myo-inositol 1,3-diphosphate, myo-inositol 1,4- diphosphate, scyllo-inositol-phosphate, D-galactose 1-phosphate, glucose-1-phosphate, glucose-6-phosphate, fructose-1-phosphate, beta- glycerophosphate, and 2'-AMP as substrates.
58	IQGAP1	9606.ENSP00000268182	IQGAP1	Ras GTPase-activating-like protein IQGAP1; Plays a crucial role in regulating the dynamics and assembly of the actin cytoskeleton. Binds to activated CDC42 but does not stimulate its GTPase activity. It associates with calmodulin. Could serve as an assembly scaffold for the organization of a multimolecular complex that would interface incoming signals to the reorganization of the actin cytoskeleton at the plasma membrane. May promote neurite outgrowth. May play a possible role in cell cycle regulation by contributing to cell cycle progression after DNA replication arrest.
59	ISCU	9606.ENSP00000310623	ISCU	Iron-sulfur cluster assembly enzyme ISCU, mitochondrial; Scaffold protein for the de novo synthesis of iron-sulfur (Fe-S) clusters within mitochondria, which is required for maturation of both mitochondrial and cytoplasmic [2Fe-2S] and [4Fe-4S] proteins. First, a [2Fe-2S] cluster is transiently assembled on the scaffold protein ISCU. In a second step, the cluster is released from ISCU, transferred to a glutaredoxin GLRX5, followed by the formation of mitochondrial [2Fe-2S] proteins, the synthesis of [4Fe-4S] clusters and their target-specific insertion into the recipient apoproteins. C [...] 
60	ITGB2	9606.ENSP00000380948	ITGB2	Integrin beta-2; Integrin ITGAL/ITGB2 is a receptor for ICAM1, ICAM2, ICAM3 and ICAM4. Integrin ITGAL/ITGB2 is also a receptor for the secreted form of ubiquitin-like protein ISG15; the interaction is mediated by ITGAL. Integrins ITGAM/ITGB2 and ITGAX/ITGB2 are receptors for the iC3b fragment of the third complement component and for fibrinogen. Integrin ITGAX/ITGB2 recognizes the sequence G-P-R in fibrinogen alpha-chain. Integrin ITGAM/ITGB2 recognizes P1 and P2 peptides of fibrinogen gamma chain. Integrin ITGAM/ITGB2 is also a receptor for factor X. Integrin ITGAD/ITGB2 is a receptor [...] 
61	ITGB3	9606.ENSP00000452786	ITGB3	Integrin beta-3; Integrin alpha-V/beta-3 (ITGAV:ITGB3) is a receptor for cytotactin, fibronectin, laminin, matrix metalloproteinase-2, osteopontin, osteomodulin, prothrombin, thrombospondin, vitronectin and von Willebrand factor. Integrin alpha-IIb/beta-3 (ITGA2B:ITGB3) is a receptor for fibronectin, fibrinogen, plasminogen, prothrombin, thrombospondin and vitronectin. Integrins alpha-IIb/beta-3 and alpha- V/beta-3 recognize the sequence R-G-D in a wide array of ligands. Integrin alpha-IIb/beta-3 recognizes the sequence H-H-L-G-G-G-A-K-Q-A- G-D-V in fibrinogen gamma chain. Following ac [...] 
62	ITGB8	9606.ENSP00000222573	ITGB8	Integrin beta-8; Integrin alpha-V:beta-8 (ITGAV:ITGB8) is a receptor for fibronectin. It recognizes the sequence R-G-D in its ligands. Integrin alpha-V:beta-6 (ITGAV:ITGB6) mediates R-G-D-dependent release of transforming growth factor beta-1 (TGF-beta-1) from regulatory Latency-associated peptide (LAP), thereby playing a key role in TGF-beta-1 activation on the surface of activated regulatory T-cells (Tregs) (Probable). Required during vasculogenesis (By similarity).
63	LCP1	9606.ENSP00000381581	LCP1	Plastin-2; Actin-binding protein. Plays a role in the activation of T-cells in response to costimulation through TCR/CD3 and CD2 or CD28. Modulates the cell surface expression of IL2RA/CD25 and CD69.
64	LCP2	9606.ENSP00000046794	LCP2	Lymphocyte cytosolic protein 2; Involved in T-cell antigen receptor mediated signaling.
65	LRPPRC	9606.ENSP00000260665	LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial; May play a role in RNA metabolism in both nuclei and mitochondria. In the nucleus binds to HNRPA1-associated poly(A) mRNAs and is part of nmRNP complexes at late stages of mRNA maturation which are possibly associated with nuclear mRNA export. May bind mature mRNA in the nucleus outer membrane. In mitochondria binds to poly(A) mRNA. Plays a role in translation or stability of mitochondrially encoded cytochrome c oxidase (COX) subunits. May be involved in transcription regulation. Cooperates with PPARGC1A to regulate certain mito [...] 
66	MBP	9606.ENSP00000380958	MBP	Myelin basic protein; The classic group of MBP isoforms (isoform 4-isoform 14) are with PLP the most abundant protein components of the myelin membrane in the CNS. They have a role in both its formation and stabilization. The smaller isoforms might have an important role in remyelination of denuded axons in multiple sclerosis. The non-classic group of MBP isoforms (isoform 1-isoform 3/Golli-MBPs) may preferentially have a role in the early developing brain long before myelination, maybe as components of transcriptional complexes, and may also be involved in signaling pathways in T-cell [...] 
67	MDK	9606.ENSP00000385451	MDK	Midkine; Secreted protein that functions as cytokine and growth factor and mediates its signal through cell-surface proteoglycan and non- proteoglycan receptors. Binds cell-surface proteoglycan receptors via their chondroitin sulfate (CS) groups. Thereby regulates many processes like inflammatory response, cell proliferation, cell adhesion, cell growth, cell survival, tissue regeneration, cell differentiation and cell migration. Participates in inflammatory processes by exerting two different activities. Firstly, mediates neutrophils and macrophages recruitment to the sites of inflamma [...] 
69	MRPL19	9606.ENSP00000377486	MRPL19	Mitochondrial ribosomal protein L19.
70	MX1	9606.ENSP00000381601	MX1	Interferon-induced GTP-binding protein Mx1, N-terminally processed; Interferon-induced dynamin-like GTPase with antiviral activity against a wide range of RNA viruses and some DNA viruses. Its target viruses include negative-stranded RNA viruses and HBV through binding and inactivation of their ribonucleocapsid. May also antagonize reoviridae and asfarviridae replication. Inhibits thogoto virus (THOV) replication by preventing the nuclear import of viral nucleocapsids. Inhibits La Crosse virus (LACV) replication by sequestering viral nucleoprotein in perinuclear complexes, preventing g [...] 
71	MYL6	9606.ENSP00000446955	MYL6	Myosin light polypeptide 6; Regulatory light chain of myosin. Does not bind calcium.
72	NCAM1	9606.ENSP00000480132	NCAM1	Neural cell adhesion molecule 1; This protein is a cell adhesion molecule involved in neuron- neuron adhesion, neurite fasciculation, outgrowth of neurites, etc.
73	NDUFA12	9606.ENSP00000330737	NDUFA12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone.
74	NTN1	9606.ENSP00000173229	NTN1	Netrin-1; Netrins control guidance of CNS commissural axons and peripheral motor axons. Its association with either DCC or some UNC5 receptors will lead to axon attraction or repulsion, respectively. Binding to UNC5C might cause dissociation of UNC5C from polymerized TUBB3 in microtubules and thereby lead to increased microtubule dynamics and axon repulsion. Involved in dorsal root ganglion axon projection towards the spinal cord. It also serves as a survival factor via its association with its receptors which prevent the initiation of apoptosis. Involved in tumorigenesis by regulating [...] 
75	PCCA	9606.ENSP00000365462	PCCA	Propionyl-CoA carboxylase alpha chain, mitochondrial; This is one of the 2 subunits of the biotin-dependent propionyl-CoA carboxylase (PCC), a mitochondrial enzyme involved in the catabolism of odd chain fatty acids, branched-chain amino acids isoleucine, threonine, methionine, and valine and other metabolites. Propionyl-CoA carboxylase catalyzes the carboxylation of propionyl-CoA/propanoyl-CoA to D-methylmalonyl- CoA/(S)-methylmalonyl-CoA. Within the holoenzyme, the alpha subunit catalyzes the ATP-dependent carboxylation of the biotin carried by the biotin carboxyl carrier (BCC) domai [...] 
76	PEA15	9606.ENSP00000357055	PEA15	Astrocytic phosphoprotein PEA-15; Blocks Ras-mediated inhibition of integrin activation and modulates the ERK MAP kinase cascade. Inhibits RPS6KA3 activities by retaining it in the cytoplasm (By similarity). Inhibits both TNFRSF6- and TNFRSF1A-mediated CASP8 activity and apoptosis. Regulates glucose transport by controlling both the content of SLC2A1 glucose transporters on the plasma membrane and the insulin-dependent trafficking of SLC2A4 from the cell interior to the surface.
77	PODN	9606.ENSP00000379212	PODN	Podocan; Negatively regulates cell proliferation and cell migration. Belongs to the small leucine-rich proteoglycan (SLRP) family. SLRP class V subfamily.
78	POLR2E	9606.ENSP00000478303	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Common component of RNA polymerases I, II and III which synthesize ribosomal RNA precursors, mRNA precursors and many functional non- coding RNAs, and small RNAs, such as 5S rRNA and tRNAs, respectively. Pol II is the central component of the basal RNA polymerase II transcription machinery. Pols are composed of mobile elements that move relative to each other. In Pol II, POLR2E/RPB5 is part of the [...] 
79	PPP6C	9606.ENSP00000392147	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed; Catalytic subunit of protein phosphatase 6 (PP6). PP6 is a component of a signaling pathway regulating cell cycle progression in response to IL2 receptor stimulation. N-terminal domain restricts G1 to S phase progression in cancer cells, in part through control of cyclin D1. During mitosis, regulates spindle positioning. Downregulates MAP3K7 kinase activation of the IL1 signaling pathway by dephosphorylation of MAP3K7. Participates also in the innate immune defense against viruses by desphosphorylating RI [...] 
80	PRODH	9606.ENSP00000349577	PRODH	Proline dehydrogenase; Converts proline to delta-1-pyrroline-5-carboxylate.
