Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,protein_logFC,protein_adjPval,discordance_score,quadrant
SYNM,0.249442305,0.081728154,0.993,1,0.743557695,ambiguous
HNRNPH3,0.194403857,0.081772472,0.374,1,0.17959614299999999,ambiguous
CTTN,-0.15374303,0.082109281,-0.473,1,-0.31925697,ambiguous
PPT1,0.21148047,0.082548142,-0.107,1,-0.31848047,ambiguous
RAB3GAP1,0.17051571,0.082776196,0.207,1,0.03648429,ambiguous
EIF4H,0.153219503,0.082811257,-0.251,1,-0.404219503,ambiguous
DDX1,0.237912264,0.082868408,-0.412,1,-0.649912264,ambiguous
GPD1L,0.248470235,0.082924691,0.94,1,0.691529765,ambiguous
DUSP3,0.16706842,0.083280955,-0.732,1,-0.89906842,ambiguous
EPRS,0.171273005,0.083471331,-0.173,1,-0.344273005,ambiguous
CLIC4,0.524026994,0.083692132,-0.23,1,-0.754026994,ambiguous
SRI,0.209590155,0.084384203,0.314,1,0.104409845,ambiguous
RAD50,0.14626777,0.084384203,-0.3,1,-0.44626776999999995,ambiguous
RDH14,0.164305992,0.085082606,-0.535,1,-0.699305992,ambiguous
ARHGEF4,-0.202619581,0.085723044,-0.176,1,0.026619581000000003,ambiguous
HNRNPUL2,0.141311387,0.086043375,0.374,1,0.232688613,ambiguous
HSD17B12,0.22729934,0.086349276,0.544,1,0.3167006600000001,ambiguous
TRAPPC10,0.147345791,0.086735509,-0.249,1,-0.396345791,ambiguous
GCLC,0.26958602,0.086805822,-0.895,1,-1.16458602,ambiguous
LAMA4,-0.257638099,0.086870168,-0.336,1,-0.07836190100000001,ambiguous
ALDH6A1,0.19794801,0.086874481,-0.67,1,-0.8679480100000001,ambiguous
MCF2L,-0.204194126,0.087709555,0.804,1,1.008194126,ambiguous
ARF6,0.157752037,0.087724695,-0.0808,1,-0.238552037,ambiguous
GNB1,0.163683631,0.088033383,-0.125,1,-0.288683631,ambiguous
PRDX3,0.205065601,0.088918057,0.92,1,0.7149343990000001,ambiguous
CALU,0.160548285,0.088973174,0.157,1,-0.003548285000000012,ambiguous
DYNC1LI2,0.281212943,0.088973174,-0.218,1,-0.49921294299999996,ambiguous
OPTN,0.167460339,0.089917973,0.106,1,-0.06146033900000002,ambiguous
ACAT1,0.145925097,0.090089012,0.501,1,0.355074903,ambiguous
NBAS,0.127793299,0.091153549,-0.197,1,-0.324793299,ambiguous
EIF3H,0.16622432,0.091578306,-0.357,1,-0.52322432,ambiguous
NAPG,0.233416963,0.091774224,0.482,1,0.24858303699999998,ambiguous
MYO5A,0.225515163,0.092335792,0.117,1,-0.10851516299999998,ambiguous
RHOA,0.179878368,0.092403508,-0.0687,1,-0.248578368,ambiguous
ESD,0.193478523,0.092447474,1.06,1,0.866521477,ambiguous
DNAJC6,0.207161782,0.092714798,-0.372,1,-0.579161782,ambiguous
PLEC,-0.25234736,0.092770226,0.354,1,0.60634736,ambiguous
GID8,0.08999207,0.093799506,-0.31,1,-0.39999207,ambiguous
STIP1,0.288862989,0.094276278,1.02,1,0.731137011,ambiguous
TPT1,0.285767311,0.09428805,-1.71,1,-1.995767311,ambiguous
QKI,0.41529357,0.094441341,0.0414,1,-0.37389357,ambiguous
PHB,0.174426786,0.095896001,0.42,1,0.24557321399999998,ambiguous
PRICKLE2,0.199175562,0.096030927,0.27,1,0.07082443800000002,ambiguous
GPS1,-0.16111984,0.09607493,-0.733,1,-0.57188016,ambiguous
EEF1A1,0.275128305,0.096701938,0.0901,1,-0.185028305,ambiguous
RPSA,0.229979895,0.096820985,0.499,1,0.269020105,ambiguous
MTMR6,0.22461722,0.096931731,0.00685,1,-0.21776722,ambiguous
DSTN,0.273255943,0.097452381,-0.35,1,-0.623255943,ambiguous
GRPEL1,0.153116738,0.097480295,-0.808,1,-0.9611167380000001,ambiguous
EXOC7,-0.13139364,0.09773701,-0.543,1,-0.41160636000000006,ambiguous
SKP1,0.20222772,0.098243086,0.401,1,0.19877228000000002,ambiguous
LAMB2,-0.251042067,0.099212066,0.521,1,0.772042067,ambiguous
CBX3,0.185332007,0.099602932,-0.843,1,-1.028332007,ambiguous
ALDH1A1,0.34209316,0.100169733,0.172,1,-0.17009316000000002,ambiguous
RMDN3,0.100191575,0.100258005,-0.177,1,-0.277191575,ambiguous
YWHAB,0.242163372,0.10030455,-0.157,1,-0.39916337199999996,ambiguous
ARMC8,0.131953398,0.100930935,0.177,1,0.04504660199999999,ambiguous
WDR47,0.249600836,0.101089967,-0.0602,1,-0.30980083599999997,ambiguous
TINAGL1,-0.497193513,0.101114958,0.926,1,1.423193513,ambiguous
RPS6KA5,0.185938848,0.101265798,1.16,1,0.974061152,ambiguous
PDCD6IP,0.131475701,0.101334341,-0.316,1,-0.447475701,ambiguous
ANLN,0.829965938,0.101334341,0.524,1,-0.30596593799999994,concordant_up
APC,0.174710401,0.101505009,0.543,1,0.368289599,ambiguous
USO1,0.150709659,0.101810429,0.198,1,0.047290341000000014,ambiguous
ANK2,0.155269269,0.101916973,0.00438,1,-0.150889269,ambiguous
AP2B1,0.145865178,0.101916973,-0.268,1,-0.413865178,ambiguous
RNF126,-0.227922044,0.102748149,-0.984,1,-0.7560779559999999,ambiguous
TNPO1,0.189048485,0.103335827,-1.01,1,-1.199048485,ambiguous
AP3M2,0.20976506,0.103504031,-0.475,1,-0.6847650599999999,ambiguous
TSN,0.152113869,0.104177202,-1.0,1,-1.152113869,ambiguous
MMAA,0.192705166,0.104492798,-0.258,1,-0.450705166,ambiguous
PRKAR2B,0.303185062,0.104644412,-0.00129,1,-0.304475062,ambiguous
RPS6,0.254543683,0.105293169,-0.736,1,-0.9905436830000001,ambiguous
CDH2,0.147844544,0.105299109,-0.18,1,-0.32784454399999996,ambiguous
PANK4,-0.193333143,0.105547506,0.479,1,0.672333143,ambiguous
RAB1A,0.170189588,0.106215765,-0.223,1,-0.39318958800000003,ambiguous
PIP4K2A,0.541433372,0.106759234,-0.305,1,-0.8464333719999999,ambiguous
ANKRD28,0.155469109,0.107192129,-0.567,1,-0.7224691089999999,ambiguous
EEF1G,0.20284279,0.107316392,-0.899,1,-1.10184279,ambiguous
FAM160B1,0.174571058,0.107958837,-0.644,1,-0.8185710580000001,ambiguous
CLDN11,0.800780925,0.108262707,0.734,1,-0.06678092499999999,concordant_up
AMN1,0.203075004,0.108337796,-0.0732,1,-0.276275004,ambiguous
HSDL2,0.23684897,0.108490611,-0.134,1,-0.37084897,ambiguous
SRPRB,0.14818325,0.108490611,0.721,1,0.57281675,ambiguous
UFL1,0.235374157,0.108866565,0.0235,1,-0.211874157,ambiguous
ADSS,0.205557127,0.109368309,-1.65,1,-1.855557127,ambiguous
KIF3A,0.223118332,0.109946664,0.165,1,-0.058118331999999995,ambiguous
CTNNA1,0.291054387,0.110363986,0.687,1,0.39594561300000003,ambiguous
COPA,0.11224339,0.110363986,-0.127,1,-0.23924339,ambiguous
CAPZA2,0.273468303,0.110494207,-0.15,1,-0.42346830300000005,ambiguous
HNRNPLL,0.143351062,0.111716362,-0.288,1,-0.43135106199999995,ambiguous
SKIV2L,-0.174171375,0.112265183,-0.0768,1,0.097371375,ambiguous
FAM126B,0.260786255,0.112413132,-0.702,1,-0.9627862549999999,ambiguous
ADD3,0.242623721,0.113439078,0.0138,1,-0.22882372099999998,ambiguous
BRSK2,-0.254540562,0.113556437,-0.385,1,-0.13045943799999998,ambiguous
DNAJB2,0.214403104,0.114125641,-0.343,1,-0.557403104,ambiguous
CAMK2D,0.208010785,0.114169753,0.184,1,-0.024010785000000007,ambiguous
VPS33B,-0.182004172,0.114677938,0.132,1,0.31400417199999997,ambiguous
ANK3,0.143475065,0.11480787,0.0387,1,-0.10477506500000001,ambiguous
TIMM9,0.131972391,0.115918128,0.96,1,0.8280276089999999,ambiguous
PPP2CA,0.209206284,0.116397066,-0.378,1,-0.587206284,ambiguous
RPS24,0.236317914,0.117958787,-0.221,1,-0.457317914,ambiguous
PARP1,0.15063561,0.117976604,-0.325,1,-0.47563561,ambiguous
FERMT2,0.233324285,0.118335191,-0.0644,1,-0.297724285,ambiguous
HEATR5B,0.127261341,0.118401596,0.156,1,0.028738659,ambiguous
SF3B3,0.100262795,0.119458139,-0.647,1,-0.747262795,ambiguous
CLTA,0.138192753,0.121122445,-0.584,1,-0.722192753,ambiguous
ATG3,0.191988817,0.121483082,-0.361,1,-0.552988817,ambiguous
RAD23B,0.122047397,0.121703894,-0.533,1,-0.655047397,ambiguous
RTN3,0.232902967,0.121703894,-0.618,1,-0.850902967,ambiguous
ADAM22,0.246619961,0.122100301,0.558,1,0.31138003900000005,ambiguous
NCKAP1,0.221141152,0.122913294,-0.171,1,-0.392141152,ambiguous
RALGAPA1,0.139793804,0.123003839,-0.277,1,-0.416793804,ambiguous
ARFGEF3,0.133877942,0.123701757,0.184,1,0.050122058,ambiguous
ARHGEF12,0.153255115,0.123787193,0.127,1,-0.026255114999999996,ambiguous
PFKFB2,0.266668997,0.12430629,-0.192,1,-0.458668997,ambiguous
EFHD1,0.547376848,0.124612975,0.757,1,0.20962315200000003,concordant_up
AIMP1,0.186380308,0.12599904,-0.282,1,-0.46838030799999997,ambiguous
ENOPH1,0.196043638,0.126675419,-0.109,1,-0.305043638,ambiguous
GUCY1A2,0.304871935,0.127238624,-0.409,1,-0.713871935,ambiguous
TRIM25,-0.128970544,0.128248323,-0.139,1,-0.01002945600000002,ambiguous
LPP,0.20033064,0.128417524,-0.0187,1,-0.21903064,ambiguous
PRKDC,0.096566248,0.129651389,-0.044,1,-0.140566248,ambiguous
PAFAH1B1,0.183161557,0.129995005,-0.391,1,-0.574161557,ambiguous
SAR1B,0.174761037,0.130163712,-0.568,1,-0.742761037,ambiguous
FTL,0.368122698,0.131195404,0.13,1,-0.23812269800000002,ambiguous
ALDH9A1,0.172111441,0.131506159,-0.196,1,-0.36811144100000004,ambiguous
KIF3B,0.137858434,0.131540681,0.265,1,0.127141566,ambiguous
VAPB,0.162215441,0.131610688,0.594,1,0.431784559,ambiguous
PPP1R16B,0.167186799,0.132033118,0.466,1,0.29881320100000003,ambiguous
PLCL2,0.245121433,0.132487736,-1.3,1,-1.545121433,ambiguous
POR,-0.1719405,0.133363641,-0.755,1,-0.5830595000000001,ambiguous
FAM171B,0.22910677,0.133404301,0.0614,1,-0.16770676999999998,ambiguous
IFIT1,0.206465602,0.133562405,-1.03,1,-1.236465602,ambiguous
KPNA1,0.122974847,0.133757115,-0.574,1,-0.6969748469999999,ambiguous
FGD4,0.205263148,0.134074144,0.261,1,0.055736852,ambiguous
IARS2,0.121115197,0.134275621,0.156,1,0.034884803000000006,ambiguous
SPARCL1,0.227713474,0.134275621,0.114,1,-0.113713474,ambiguous
CCT8,0.198966503,0.134347683,-0.424,1,-0.622966503,ambiguous
CUL2,0.160553305,0.135980533,-0.166,1,-0.326553305,ambiguous
MTX3,0.169556997,0.136441428,0.0107,1,-0.158856997,ambiguous
STXBP6,0.241446488,0.13673721,0.0531,1,-0.18834648799999998,ambiguous
MYCBP2,0.179285271,0.136863372,0.0542,1,-0.125085271,ambiguous
EXOC2,0.101659938,0.1372084,-0.653,1,-0.7546599380000001,ambiguous
HNRNPU,0.102191186,0.13866798,0.00412,1,-0.098071186,ambiguous
DGKQ,-0.253643052,0.138927934,-0.125,1,0.12864305199999998,ambiguous
SGTB,0.257592243,0.139878879,-0.632,1,-0.8895922430000001,ambiguous
PEX19,0.124603576,0.140222335,-0.3,1,-0.424603576,ambiguous
ANKRD24,-0.310246712,0.140375401,-0.541,1,-0.23075328800000006,ambiguous
PEX5,0.137148082,0.142008753,-0.0241,1,-0.16124808200000001,ambiguous
CLVS2,0.293267317,0.142920751,-0.163,1,-0.456267317,ambiguous
PFN2,0.242598169,0.144881238,0.509,1,0.26640183100000003,ambiguous
PIK3R4,0.100028294,0.144902233,-0.0526,1,-0.152628294,ambiguous
PICK1,-0.188485408,0.145181688,-1.56,1,-1.371514592,ambiguous
HSPA9,0.12862848,0.145294655,0.0134,1,-0.11522848,ambiguous
SMS,0.179437397,0.145485683,-0.992,1,-1.171437397,ambiguous
TOM1,-0.157544246,0.145615565,-1.36,1,-1.202455754,ambiguous
RPN1,0.147303433,0.145799532,0.154,1,0.006696566999999987,ambiguous
CDK14,0.256164894,0.146479173,0.535,1,0.27883510600000005,ambiguous
MAOB,0.289888982,0.146748404,0.838,1,0.548111018,ambiguous
HNRNPA2B1,0.137938956,0.14744743,0.0085,1,-0.129438956,ambiguous
NUAK1,0.230272812,0.147897677,0.0269,1,-0.203372812,ambiguous
PCBP2,0.111977839,0.148063568,-0.0901,1,-0.20207783899999998,ambiguous
PSMD10,0.180739721,0.148984134,0.177,1,-0.0037397210000000014,ambiguous
SHISA7,-0.219845985,0.150696251,-0.102,1,0.117845985,ambiguous
SAMHD1,0.225972861,0.151189598,-0.106,1,-0.331972861,ambiguous
PDHX,0.140395234,0.151189598,0.0438,1,-0.096595234,ambiguous
CLTC,0.21262831,0.151476643,0.022,1,-0.19062831,ambiguous
SEC23A,0.186685181,0.151614976,-0.0546,1,-0.24128518100000002,ambiguous
NUBPL,0.13230178,0.151824065,-0.0125,1,-0.14480178000000002,ambiguous
ITGAV,0.215212119,0.151918691,-0.0489,1,-0.264112119,ambiguous
SIRT2,0.336911954,0.151979821,0.707,1,0.37008804599999995,ambiguous
USP14,0.144499608,0.152330867,-1.95,1,-2.094499608,ambiguous
RASGRP2,-0.269290653,0.152586141,0.12,1,0.389290653,ambiguous
RPS2,0.2341232,0.153042117,-0.353,1,-0.5871232,ambiguous
FECH,0.126455578,0.153723567,0.0552,1,-0.07125557800000001,ambiguous
PDP1,0.300738274,0.154050888,0.237,1,-0.06373827400000004,ambiguous
LMTK3,-0.265330842,0.15490013,-0.163,1,0.102330842,ambiguous
DPYSL4,-0.216565456,0.155207408,-0.1,1,0.11656545599999998,ambiguous
NAPB,0.306791381,0.156122512,0.231,1,-0.07579138099999996,ambiguous
TUBGCP2,-0.117112228,0.156566772,-0.197,1,-0.07988777200000001,ambiguous
TAB1,-0.176309623,0.157031738,-0.388,1,-0.211690377,ambiguous
MAT2A,0.188835876,0.157069055,-0.676,1,-0.8648358760000001,ambiguous
MTCH1,0.164170955,0.157581814,0.639,1,0.474829045,ambiguous
HSPG2,-0.380938529,0.157948443,-0.0155,1,0.365438529,ambiguous
KAZN,0.215938982,0.157948443,-0.307,1,-0.522938982,ambiguous
ELAVL2,0.278793582,0.158288141,-0.166,1,-0.44479358199999997,ambiguous
VPS29,0.15855047,0.159277089,-0.584,1,-0.74255047,ambiguous
EIF2B4,-0.100891592,0.160695817,-0.625,1,-0.524108408,ambiguous
NEK7,0.310180682,0.161044911,0.0646,1,-0.245580682,ambiguous
SNRNP200,-0.080882215,0.161337879,0.263,1,0.343882215,ambiguous
HDLBP,0.09501571,0.161660219,0.0646,1,-0.03041571,ambiguous
SNX6,0.249896049,0.161888443,-0.302,1,-0.551896049,ambiguous
ATP6V1C1,0.234247929,0.162150025,-0.35,1,-0.584247929,ambiguous
CSNK2A1,0.090715404,0.162236428,-0.447,1,-0.5377154040000001,ambiguous
HNRNPH2,0.165600773,0.162855567,0.295,1,0.12939922699999998,ambiguous
NDUFB5,0.233998874,0.162952452,0.293,1,0.05900112599999999,ambiguous
TSC1,-0.093762693,0.162990663,0.076,1,0.169762693,ambiguous
CSNK2A2,0.093443268,0.163268926,-0.182,1,-0.27544326799999996,ambiguous
SPTBN4,-0.250762506,0.163391849,0.195,1,0.445762506,ambiguous
TUBA1B,0.220002024,0.163391849,-0.339,1,-0.559002024,ambiguous
MAPRE1,0.131264628,0.163401017,-0.127,1,-0.258264628,ambiguous
WDR7,0.132716479,0.164917461,0.0523,1,-0.080416479,ambiguous
NCAM1,0.128369721,0.16493351,0.0703,1,-0.05806972099999999,ambiguous
TGM2,-0.473714022,0.16493351,-0.602,1,-0.12828597799999997,ambiguous
SOD2,0.242302615,0.165352027,1.26,1,1.017697385,ambiguous
PSMD12,0.216683041,0.165915012,-0.501,1,-0.717683041,ambiguous
S100A1,0.244974852,0.166220916,1.26,1,1.015025148,ambiguous
GRIA3,0.186498802,0.167052654,0.371,1,0.184501198,ambiguous
UBA6,0.160242705,0.167179881,-0.789,1,-0.9492427050000001,ambiguous
ATG2B,0.103662081,0.168367258,-0.657,1,-0.760662081,ambiguous
LIN7A,0.283402666,0.168371918,0.363,1,0.07959733399999996,ambiguous
GDA,0.314086782,0.169378224,0.292,1,-0.022086782000000027,ambiguous
ANXA1,0.505985999,0.169686609,0.572,1,0.06601400099999999,concordant_up
ATP6V1G2,0.25061952,0.1699263,-0.479,1,-0.72961952,ambiguous
NDUFS1,0.154691244,0.17008756,0.255,1,0.100308756,ambiguous
NDUFA5,0.268499306,0.170427473,0.486,1,0.217500694,ambiguous
RAB18,0.177124847,0.170741037,-0.423,1,-0.600124847,ambiguous
COPS8,0.18135815,0.171087083,-1.38,1,-1.5613581499999998,ambiguous
NEGR1,0.302804663,0.171396051,-0.547,1,-0.849804663,ambiguous
KIAA1217,-0.158205664,0.171967028,-0.153,1,0.005205663999999999,ambiguous
NDUFC2,0.181458175,0.172222974,0.448,1,0.266541825,ambiguous
HSPA2,0.537067989,0.173158358,0.485,1,-0.05206798899999998,ambiguous
CARM1,-0.160557364,0.173870961,-0.489,1,-0.328442636,ambiguous
DNAJB1,0.531806962,0.173901289,-0.618,1,-1.149806962,discordant_HIGH
ARCN1,0.121811921,0.174188932,-0.296,1,-0.417811921,ambiguous
AP1G1,0.103277799,0.17539652,-0.615,1,-0.718277799,ambiguous
ATP2B4,0.151169698,0.176700015,0.873,1,0.721830302,ambiguous
G3BP2,0.222685918,0.17676791,0.421,1,0.19831408199999997,ambiguous
CNRIP1,0.164146063,0.176774128,-0.585,1,-0.749146063,ambiguous
PEBP1,0.149453558,0.176979327,0.208,1,0.058546442000000004,ambiguous
NUDC,0.141117442,0.177463563,-0.477,1,-0.618117442,ambiguous
PRKAR1A,0.168545885,0.177905513,-0.0488,1,-0.21734588500000002,ambiguous
PFKL,-0.17493012,0.178721185,-0.0392,1,0.13573012,ambiguous
ATPAF1,0.127610384,0.179427027,0.0856,1,-0.042010384,ambiguous
EPM2A,0.184431287,0.179458291,0.992,1,0.807568713,ambiguous
RPL21,0.257342942,0.179954739,-0.213,1,-0.47034294200000004,ambiguous
RPL24,0.184719669,0.180427734,-0.371,1,-0.555719669,ambiguous
MAP2K4,0.195515226,0.180942525,-0.55,1,-0.745515226,ambiguous
UQCRB,0.216270044,0.181085932,0.428,1,0.211729956,ambiguous
ATP2A2,0.162176261,0.182404944,-0.0226,1,-0.184776261,ambiguous
CHN1,0.285317162,0.182649766,0.445,1,0.159682838,ambiguous
PPP2R2C,0.120082278,0.18331865,0.122,1,0.0019177219999999967,ambiguous
DYNC1H1,0.106190183,0.183664071,-0.122,1,-0.228190183,ambiguous
SLC44A1,0.395278775,0.184285869,2.14,1,1.7447212250000002,ambiguous
MRPS27,0.117646203,0.185135967,-0.454,1,-0.571646203,ambiguous
DNAJA4,0.19126065,0.187182089,-0.471,1,-0.66226065,ambiguous
WNK2,-0.251013246,0.187295658,0.268,1,0.5190132460000001,ambiguous
DYNC1LI1,0.154023104,0.187611187,-0.114,1,-0.268023104,ambiguous
SRP72,0.147581598,0.187620223,-0.423,1,-0.570581598,ambiguous
ROCK2,0.161054761,0.188609091,-0.646,1,-0.8070547610000001,ambiguous
TARDBP,0.098565708,0.188954014,0.531,1,0.43243429200000005,ambiguous
RPL3,0.162148344,0.189425022,0.145,1,-0.01714834400000001,ambiguous
CHDH,-0.226388219,0.189877124,0.773,1,0.9993882190000001,ambiguous
DIRAS2,0.243648729,0.190688227,0.533,1,0.289351271,ambiguous
OSTF1,0.148174419,0.190688227,-0.125,1,-0.273174419,ambiguous
AK4,0.152678414,0.190691632,-0.0794,1,-0.232078414,ambiguous
EPB41L5,0.132450827,0.19086513,0.244,1,0.111549173,ambiguous
RPL23,0.226906516,0.191722581,-0.253,1,-0.479906516,ambiguous
RBBP7,0.133867879,0.191722581,0.0645,1,-0.069367879,ambiguous
FLNC,0.556825446,0.192734278,0.318,1,-0.23882544599999994,ambiguous
PLIN3,0.47781036,0.192734278,-0.467,1,-0.94481036,ambiguous
GPSM1,-0.181191228,0.193010534,-0.0756,1,0.10559122800000001,ambiguous
AKAP10,0.096269349,0.193040242,0.169,1,0.07273065100000001,ambiguous
IQSEC3,-0.253819183,0.193078839,1.13,1,1.383819183,ambiguous
PIP4K2C,0.178992887,0.193657554,-0.153,1,-0.33199288699999996,ambiguous
NUMA1,-0.1593313,0.193701454,0.818,1,0.9773312999999999,ambiguous
STRAP,0.163974849,0.195632211,0.0438,1,-0.120174849,ambiguous
TPM4,0.130198834,0.196095297,0.408,1,0.27780116599999993,ambiguous
ATL3,0.207662427,0.196558804,0.237,1,0.029337572999999978,ambiguous
BCR,-0.154529944,0.19660339,0.752,1,0.906529944,ambiguous
SUCLG1,0.142252209,0.196818125,-0.0878,1,-0.230052209,ambiguous
MGEA5,0.11050417,0.197615348,-0.932,1,-1.04250417,ambiguous
RPS27A,0.204295491,0.198273549,-0.554,1,-0.758295491,ambiguous
RAB2A,0.20113485,0.198450099,0.621,1,0.41986515,ambiguous
ATP2B1,0.261486854,0.199089743,0.105,1,-0.156486854,ambiguous
BRAF,0.145330939,0.199692206,-0.83,1,-0.975330939,ambiguous
CAPN2,-0.142452738,0.199769186,-0.0722,1,0.070252738,ambiguous
ATP6V1D,0.191435651,0.200531157,-0.48,1,-0.671435651,ambiguous
RASGRF2,0.210304471,0.200620578,0.745,1,0.534695529,ambiguous
VPS13A,0.171964789,0.200989489,-1.47,1,-1.641964789,ambiguous
RAB3GAP2,0.132723057,0.200989489,0.169,1,0.036276943000000006,ambiguous
PRDX6,0.178593358,0.202139084,0.308,1,0.129406642,ambiguous
FAM49A,0.215263035,0.202784208,-0.623,1,-0.838263035,ambiguous
PIP4K2B,0.120277956,0.204381799,-0.391,1,-0.511277956,ambiguous
DCLK1,0.198063868,0.204466092,0.0173,1,-0.180763868,ambiguous
ACACA,0.089265747,0.204558587,0.34,1,0.250734253,ambiguous
COPS5,0.148035543,0.204701754,-1.19,1,-1.338035543,ambiguous
KIFAP3,0.180668724,0.204739121,-0.157,1,-0.33766872400000003,ambiguous
EXOC6,0.166331335,0.205133621,-0.195,1,-0.36133133500000003,ambiguous
LIPE,0.506287756,0.205875301,0.256,1,-0.250287756,ambiguous
RPS7,0.190782477,0.205947902,0.806,1,0.6152175230000001,ambiguous
KIAA1468,0.095469071,0.20596614,-0.487,1,-0.582469071,ambiguous
GSTM3,-0.20413019,0.206233165,-0.287,1,-0.08286980999999999,ambiguous
COQ9,-0.106308713,0.206261853,-0.0893,1,0.017008712999999995,ambiguous
RAB12,0.130931452,0.20655791,-0.284,1,-0.414931452,ambiguous
SNX32,-0.284587704,0.206951535,-0.529,1,-0.24441229600000003,ambiguous
LRPPRC,0.169616712,0.206999761,-0.0941,1,-0.263716712,ambiguous
PSMC6,0.180072638,0.207249659,-0.0403,1,-0.220372638,ambiguous
CHST9,0.286792701,0.208027965,-0.629,1,-0.915792701,ambiguous
USP7,0.109352344,0.209457634,-1.08,1,-1.189352344,ambiguous
DLD,0.191896544,0.210377179,0.2,1,0.008103456000000009,ambiguous
EIF4G3,0.087027886,0.21101212,-0.955,1,-1.042027886,ambiguous
CBR1,0.330784912,0.211519115,-1.03,1,-1.360784912,ambiguous
COPZ1,0.106436807,0.211690151,-1.11,1,-1.216436807,ambiguous
CACNA2D1,0.20581788,0.212692725,-0.869,1,-1.07481788,ambiguous
MACROD1,-0.166457049,0.212692725,-0.19,1,-0.023542951000000006,ambiguous
KIF5B,0.234964766,0.212877688,-0.445,1,-0.679964766,ambiguous
SCCPDH,0.168555739,0.21295236,1.63,1,1.4614442609999998,ambiguous
C2CD4C,-0.357511332,0.213190555,-0.244,1,0.11351133200000002,ambiguous
SDCBP,0.16208888,0.213599643,-1.11,1,-1.27208888,ambiguous
CLNS1A,0.123251284,0.213769422,-0.242,1,-0.365251284,ambiguous
DNAJA2,0.165134922,0.214916772,-0.102,1,-0.267134922,ambiguous
GAS7,0.154057663,0.215107551,-0.904,1,-1.058057663,ambiguous
ARMC10,0.155254389,0.215130477,-0.536,1,-0.691254389,ambiguous
CTNND2,0.096202227,0.215463417,0.383,1,0.286797773,ambiguous
DPYSL3,0.192796006,0.215664925,-0.0795,1,-0.272296006,ambiguous
PTBP1,-0.199205876,0.217265629,-0.412,1,-0.21279412399999997,ambiguous
EPB41L2,0.13852207,0.217265629,-0.123,1,-0.26152207,ambiguous
RPS18,0.21851581,0.218490143,-0.163,1,-0.38151581,ambiguous
PDHB,0.145645175,0.218608347,0.207,1,0.061354825,ambiguous
DST,0.194451987,0.220163988,0.00518,1,-0.189271987,ambiguous
OPCML,0.214058364,0.221406377,-0.522,1,-0.736058364,ambiguous
RAB31,0.170322726,0.221672583,-0.342,1,-0.5123227260000001,ambiguous
SRR,0.180733217,0.223468431,1.03,1,0.849266783,ambiguous
ERMN,0.579753245,0.224432498,-0.277,1,-0.856753245,ambiguous
PPP1R12C,-0.177728214,0.224432498,-0.396,1,-0.21827178600000002,ambiguous
GDAP1,0.173516517,0.224692618,-0.109,1,-0.282516517,ambiguous
SAR1A,0.121567516,0.225614681,-0.571,1,-0.692567516,ambiguous
MYO1D,0.387565916,0.225659597,-0.0655,1,-0.453065916,ambiguous
ATL1,0.188313576,0.226024275,-0.49,1,-0.678313576,ambiguous
GLS,0.20461256,0.226524971,0.0425,1,-0.16211256,ambiguous
SYN2,0.248053025,0.226525241,-0.325,1,-0.573053025,ambiguous
MAP1B,0.155512131,0.226525241,0.0198,1,-0.13571213099999999,ambiguous
KCTD16,0.244804565,0.226614058,-1.05,1,-1.294804565,ambiguous
PLEKHB1,0.355644237,0.227132592,-0.224,1,-0.579644237,ambiguous
KPNA6,0.09379088,0.227466052,0.104,1,0.010209120000000002,ambiguous
CD9,0.450203245,0.228256953,1.21,1,0.759796755,ambiguous
SIRT5,0.087949362,0.229143622,-0.255,1,-0.34294936200000004,ambiguous
LGALS3,-0.290118255,0.229428142,0.762,1,1.052118255,ambiguous
NNT,0.132210503,0.22947876,0.41,1,0.277789497,ambiguous
PTPN23,-0.138061174,0.231411979,0.00389,1,0.141951174,ambiguous
CDKL5,0.167251216,0.231748307,0.426,1,0.258748784,ambiguous
ALDH1L1,-0.242406748,0.235636913,-0.727,1,-0.484593252,ambiguous
TXNRD2,-0.121560525,0.23742316,0.0993,1,0.220860525,ambiguous
ARL1,0.155424161,0.238196729,-0.438,1,-0.593424161,ambiguous
AK5,0.168513111,0.238927741,-0.103,1,-0.271513111,ambiguous
RGS7BP,0.236787374,0.239092904,2.17,1,1.933212626,ambiguous
ARPC2,0.112305087,0.239978397,-0.191,1,-0.30330508700000003,ambiguous
PITPNM2,-0.22741928,0.240121204,0.244,1,0.47141928,ambiguous
NDRG1,0.35239755,0.24155614,0.895,1,0.54260245,ambiguous
DYNLT3,0.242993544,0.241921858,0.706,1,0.46300645599999996,ambiguous
HSPE1,0.227113665,0.241940904,-0.0264,1,-0.253513665,ambiguous
RBM8A,0.101188214,0.242085212,-0.323,1,-0.424188214,ambiguous
VPS33A,0.086120895,0.242419728,0.173,1,0.08687910499999998,ambiguous
SNX1,0.132858743,0.243763142,-1.41,1,-1.542858743,ambiguous
RPL14,0.143768324,0.245385864,-0.371,1,-0.514768324,ambiguous
DMWD,-0.159850299,0.245939454,0.088,1,0.247850299,ambiguous
PPP3R1,0.216009225,0.246056945,-0.0554,1,-0.271409225,ambiguous
PCMT1,0.200011477,0.246365223,0.0318,1,-0.168211477,ambiguous
