#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Function	GO:0005515	Protein binding	63	7242	0.24	0.44	0.00028	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000236959,9606.ENSP00000245907,9606.ENSP00000248594,9606.ENSP00000249330,9606.ENSP00000260665,9606.ENSP00000264613,9606.ENSP00000264637,9606.ENSP00000264828,9606.ENSP00000264832,9606.ENSP00000266254,9606.ENSP00000268182,9606.ENSP00000298159,9606.ENSP00000300648,9606.ENSP00000310036,9606.ENSP00000311469,9606.ENSP00000314649,9606.ENSP00000322706,9606.ENSP00000327323,9606.ENSP00000340019,9606.ENSP00000345107,9606.ENSP00000348128,9606.ENSP00000349748,9606.ENSP00000351646,9606.ENSP00000352071,9606.ENSP00000359151,9606.ENSP00000359258,9606.ENSP00000359497,9606.ENSP00000360141,9606.ENSP00000363017,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000365462,9606.ENSP00000367851,9606.ENSP00000371152,9606.ENSP00000373477,9606.ENSP00000377195,9606.ENSP00000378786,9606.ENSP00000379038,9606.ENSP00000379372,9606.ENSP00000379845,9606.ENSP00000379975,9606.ENSP00000380948,9606.ENSP00000380958,9606.ENSP00000381581,9606.ENSP00000381601,9606.ENSP00000385035,9606.ENSP00000385451,9606.ENSP00000389631,9606.ENSP00000407685,9606.ENSP00000408526,9606.ENSP00000411355,9606.ENSP00000416561,9606.ENSP00000417864,9606.ENSP00000420588,9606.ENSP00000424846,9606.ENSP00000432768,9606.ENSP00000452786,9606.ENSP00000460236,9606.ENSP00000482841,9606.ENSP00000497382,9606.ENSP00000498358	ITGB8,VTN,ATIC,C3,PTPN12,VGF,LRPPRC,CP,THRA,COL5A3,ICAM1,TTLL1,IQGAP1,CFL2,GCN1,CD34,GSTM1,ALDH5A1,HMGCS1,THNSL2,HSPD1,C2orf88,SVIL,SFPQ,STIP1,CD163,DBT,GCLM,GBP2,GNAS,RPA2,ABCA1,HLA-C,PCCA,CYBB,ASAH1,GPX3,DBN1,HLA-DRA,TYMP,GTF2A2,ABAT,ILK,ITGB2,MBP,LCP1,MX1,C1S,MDK,ARPC1B,TNXB,IMPA1,PTPRC,CFB,ANP32A,TFAM,SH3BP2,CKAP5,ITGB3,SPON1,CRABP2,CD53,FECH
GO Function	GO:0044877	Protein-containing complex binding	23	1261	0.56	0.63	0.00028	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000264637,9606.ENSP00000264828,9606.ENSP00000264832,9606.ENSP00000268182,9606.ENSP00000298159,9606.ENSP00000300648,9606.ENSP00000340019,9606.ENSP00000348128,9606.ENSP00000359258,9606.ENSP00000360141,9606.ENSP00000364114,9606.ENSP00000377195,9606.ENSP00000378786,9606.ENSP00000379212,9606.ENSP00000380948,9606.ENSP00000381581,9606.ENSP00000389631,9606.ENSP00000407685,9606.ENSP00000411355,9606.ENSP00000432768,9606.ENSP00000452786	ITGB8,VTN,THRA,COL5A3,ICAM1,IQGAP1,CFL2,GCN1,HSPD1,SVIL,GCLM,GNAS,HLA-DRB5,DBN1,HLA-DRA,PODN,ITGB2,LCP1,ARPC1B,TNXB,PTPRC,CKAP5,ITGB3
GO Function	GO:0005488	Binding	84	12838	0.11	0.27	0.0176	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000236959,9606.ENSP00000245907,9606.ENSP00000248594,9606.ENSP00000249330,9606.ENSP00000260665,9606.ENSP00000264613,9606.ENSP00000264637,9606.ENSP00000264828,9606.ENSP00000264832,9606.ENSP00000266022,9606.ENSP00000266254,9606.ENSP00000268182,9606.ENSP00000296220,9606.ENSP00000298159,9606.ENSP00000300060,9606.ENSP00000300648,9606.ENSP00000310036,9606.ENSP00000310623,9606.ENSP00000311469,9606.ENSP00000314649,9606.ENSP00000317780,9606.ENSP00000322706,9606.ENSP00000327323,9606.ENSP00000339157,9606.ENSP00000340019,9606.ENSP00000345107,9606.ENSP00000348128,9606.ENSP00000349577,9606.ENSP00000349748,9606.ENSP00000350314,9606.ENSP00000351646,9606.ENSP00000352071,9606.ENSP00000359151,9606.ENSP00000359258,9606.ENSP00000359497,9606.ENSP00000360141,9606.ENSP00000363017,9606.ENSP00000363868,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000365462,9606.ENSP00000367851,9606.ENSP00000371152,9606.ENSP00000373477,9606.ENSP00000377195,9606.ENSP00000378131,9606.ENSP00000378786,9606.ENSP00000379038,9606.ENSP00000379212,9606.ENSP00000379372,9606.ENSP00000379845,9606.ENSP00000379975,9606.ENSP00000380948,9606.ENSP00000380958,9606.ENSP00000381581,9606.ENSP00000381601,9606.ENSP00000385035,9606.ENSP00000385451,9606.ENSP00000385757,9606.ENSP00000389631,9606.ENSP00000392147,9606.ENSP00000399259,9606.ENSP00000407685,9606.ENSP00000408526,9606.ENSP00000410242,9606.ENSP00000411355,9606.ENSP00000416561,9606.ENSP00000417864,9606.ENSP00000420588,9606.ENSP00000424846,9606.ENSP00000432768,9606.ENSP00000446955,9606.ENSP00000450540,9606.ENSP00000452786,9606.ENSP00000460236,9606.ENSP00000473980,9606.ENSP00000478303,9606.ENSP00000480132,9606.ENSP00000482841,9606.ENSP00000491537,9606.ENSP00000497382,9606.ENSP00000498358	ITGB8,VTN,ATIC,C3,PTPN12,VGF,LRPPRC,CP,THRA,COL5A3,ICAM1,RBM6,TTLL1,IQGAP1,OSBPL11,CFL2,ANPEP,GCN1,CD34,ISCU,GSTM1,ALDH5A1,COX5A,HMGCS1,THNSL2,CPM,HSPD1,C2orf88,SVIL,PRODH,SFPQ,BCO2,STIP1,CD163,DBT,GCLM,GBP2,GNAS,RPA2,ABCA1,HLA-DRB5,HLA-C,PCCA,CYBB,ASAH1,GPX3,DBN1,CFI,HLA-DRA,TYMP,PODN,GTF2A2,ABAT,ILK,ITGB2,MBP,LCP1,MX1,C1S,MDK,BLVRA,ARPC1B,PPP6C,FCHSD1,TNXB,IMPA1,IGF2BP2,PTPRC,CFB,ANP32A,TFAM,SH3BP2,CKAP5,MYL6,SERPINA3,ITGB3,SPON1,MRPL37,POLR2E,NCAM1,CRABP2,FDFT1,CD53,FECH
GO Function	GO:1901681	Sulfur compound binding	9	272	0.82	0.44	0.0176	9606.ENSP00000226218,9606.ENSP00000264828,9606.ENSP00000310036,9606.ENSP00000311469,9606.ENSP00000359151,9606.ENSP00000365462,9606.ENSP00000385451,9606.ENSP00000407685,9606.ENSP00000411355	VTN,COL5A3,CD34,GSTM1,DBT,PCCA,MDK,TNXB,PTPRC
GO Function	GO:0005178	Integrin binding	7	159	0.94	0.45	0.0197	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000264832,9606.ENSP00000380948,9606.ENSP00000381581,9606.ENSP00000407685,9606.ENSP00000452786	ITGB8,VTN,ICAM1,ITGB2,LCP1,TNXB,ITGB3
GO Function	GO:0050839	Cell adhesion molecule binding	12	560	0.63	0.39	0.0233	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000236959,9606.ENSP00000264832,9606.ENSP00000268182,9606.ENSP00000300648,9606.ENSP00000377195,9606.ENSP00000380948,9606.ENSP00000381581,9606.ENSP00000407685,9606.ENSP00000432768,9606.ENSP00000452786	ITGB8,VTN,ATIC,ICAM1,IQGAP1,GCN1,DBN1,ITGB2,LCP1,TNXB,CKAP5,ITGB3
GO Component	GO:0070062	Extracellular exosome	35	2096	0.52	0.84	1.43e-07	9606.ENSP00000011473,9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000236959,9606.ENSP00000245907,9606.ENSP00000257860,9606.ENSP00000264613,9606.ENSP00000264832,9606.ENSP00000266041,9606.ENSP00000268182,9606.ENSP00000298159,9606.ENSP00000300060,9606.ENSP00000339157,9606.ENSP00000340019,9606.ENSP00000360141,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000371152,9606.ENSP00000372155,9606.ENSP00000373477,9606.ENSP00000378131,9606.ENSP00000378786,9606.ENSP00000380948,9606.ENSP00000381581,9606.ENSP00000385757,9606.ENSP00000389631,9606.ENSP00000407685,9606.ENSP00000411355,9606.ENSP00000416561,9606.ENSP00000436126,9606.ENSP00000446955,9606.ENSP00000450540,9606.ENSP00000452786,9606.ENSP00000482841,9606.ENSP00000497382	SYPL1,ITGB8,VTN,ATIC,C3,PRPH,CP,ICAM1,ITIH4,IQGAP1,CFL2,ANPEP,CPM,HSPD1,GNAS,HLA-DRB5,HLA-C,ASAH1,PSME1,GPX3,CFI,HLA-DRA,ITGB2,LCP1,BLVRA,ARPC1B,TNXB,PTPRC,CFB,SAA2,MYL6,SERPINA3,ITGB3,CRABP2,CD53
GO Component	GO:0005576	Extracellular region	48	4175	0.36	0.64	7.42e-07	9606.ENSP00000011473,9606.ENSP00000173229,9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000236959,9606.ENSP00000245907,9606.ENSP00000249330,9606.ENSP00000257860,9606.ENSP00000264613,9606.ENSP00000264828,9606.ENSP00000264832,9606.ENSP00000266041,9606.ENSP00000266254,9606.ENSP00000268182,9606.ENSP00000298159,9606.ENSP00000300060,9606.ENSP00000310036,9606.ENSP00000311469,9606.ENSP00000327323,9606.ENSP00000339157,9606.ENSP00000340019,9606.ENSP00000352071,9606.ENSP00000360141,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000371152,9606.ENSP00000372155,9606.ENSP00000373477,9606.ENSP00000378131,9606.ENSP00000378786,9606.ENSP00000379212,9606.ENSP00000380948,9606.ENSP00000381581,9606.ENSP00000385035,9606.ENSP00000385451,9606.ENSP00000385757,9606.ENSP00000389631,9606.ENSP00000407685,9606.ENSP00000411355,9606.ENSP00000416561,9606.ENSP00000436126,9606.ENSP00000446955,9606.ENSP00000450540,9606.ENSP00000452786,9606.ENSP00000460236,9606.ENSP00000480132,9606.ENSP00000482841,9606.ENSP00000497382	SYPL1,NTN1,ITGB8,VTN,ATIC,C3,VGF,PRPH,CP,COL5A3,ICAM1,ITIH4,TTLL1,IQGAP1,CFL2,ANPEP,CD34,GSTM1,THNSL2,CPM,HSPD1,CD163,GNAS,HLA-DRB5,HLA-C,ASAH1,PSME1,GPX3,CFI,HLA-DRA,PODN,ITGB2,LCP1,C1S,MDK,BLVRA,ARPC1B,TNXB,PTPRC,CFB,SAA2,MYL6,SERPINA3,ITGB3,SPON1,NCAM1,CRABP2,CD53
GO Component	GO:0005615	Extracellular space	41	3247	0.4	0.66	1.43e-06	9606.ENSP00000011473,9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000236959,9606.ENSP00000245907,9606.ENSP00000249330,9606.ENSP00000257860,9606.ENSP00000264613,9606.ENSP00000264828,9606.ENSP00000264832,9606.ENSP00000266041,9606.ENSP00000268182,9606.ENSP00000298159,9606.ENSP00000300060,9606.ENSP00000327323,9606.ENSP00000339157,9606.ENSP00000340019,9606.ENSP00000360141,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000371152,9606.ENSP00000372155,9606.ENSP00000373477,9606.ENSP00000378131,9606.ENSP00000378786,9606.ENSP00000379212,9606.ENSP00000380948,9606.ENSP00000381581,9606.ENSP00000385035,9606.ENSP00000385757,9606.ENSP00000389631,9606.ENSP00000407685,9606.ENSP00000411355,9606.ENSP00000416561,9606.ENSP00000436126,9606.ENSP00000446955,9606.ENSP00000450540,9606.ENSP00000452786,9606.ENSP00000460236,9606.ENSP00000482841,9606.ENSP00000497382	SYPL1,ITGB8,VTN,ATIC,C3,VGF,PRPH,CP,COL5A3,ICAM1,ITIH4,IQGAP1,CFL2,ANPEP,THNSL2,CPM,HSPD1,GNAS,HLA-DRB5,HLA-C,ASAH1,PSME1,GPX3,CFI,HLA-DRA,PODN,ITGB2,LCP1,C1S,BLVRA,ARPC1B,TNXB,PTPRC,CFB,SAA2,MYL6,SERPINA3,ITGB3,SPON1,CRABP2,CD53
GO Component	GO:0031982	Vesicle	43	3957	0.33	0.54	3.78e-05	9606.ENSP00000011473,9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000236959,9606.ENSP00000245907,9606.ENSP00000249330,9606.ENSP00000257860,9606.ENSP00000264613,9606.ENSP00000264832,9606.ENSP00000266041,9606.ENSP00000268182,9606.ENSP00000296220,9606.ENSP00000298159,9606.ENSP00000300060,9606.ENSP00000339157,9606.ENSP00000340019,9606.ENSP00000352071,9606.ENSP00000359497,9606.ENSP00000360141,9606.ENSP00000363868,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000370635,9606.ENSP00000371152,9606.ENSP00000372155,9606.ENSP00000373477,9606.ENSP00000378131,9606.ENSP00000378786,9606.ENSP00000380948,9606.ENSP00000381581,9606.ENSP00000385757,9606.ENSP00000389631,9606.ENSP00000399259,9606.ENSP00000407685,9606.ENSP00000411355,9606.ENSP00000416561,9606.ENSP00000436126,9606.ENSP00000446955,9606.ENSP00000450540,9606.ENSP00000452786,9606.ENSP00000482841,9606.ENSP00000497382	SYPL1,ITGB8,VTN,ATIC,C3,VGF,PRPH,CP,ICAM1,ITIH4,IQGAP1,OSBPL11,CFL2,ANPEP,CPM,HSPD1,CD163,GBP2,GNAS,ABCA1,HLA-DRB5,HLA-C,CYBB,SLC39A14,ASAH1,PSME1,GPX3,CFI,HLA-DRA,ITGB2,LCP1,BLVRA,ARPC1B,FCHSD1,TNXB,PTPRC,CFB,SAA2,MYL6,SERPINA3,ITGB3,CRABP2,CD53
GO Component	GO:0005759	Mitochondrial matrix	14	494	0.75	0.83	5.93e-05	9606.ENSP00000260665,9606.ENSP00000310623,9606.ENSP00000314649,9606.ENSP00000340019,9606.ENSP00000349577,9606.ENSP00000350314,9606.ENSP00000359151,9606.ENSP00000365462,9606.ENSP00000376184,9606.ENSP00000377486,9606.ENSP00000379845,9606.ENSP00000420588,9606.ENSP00000473980,9606.ENSP00000498358	LRPPRC,ISCU,ALDH5A1,HSPD1,PRODH,BCO2,DBT,PCCA,BDH1,MRPL19,ABAT,TFAM,MRPL37,FECH
GO Component	GO:0098552	Side of membrane	15	611	0.69	0.76	0.00011	9606.ENSP00000264832,9606.ENSP00000268182,9606.ENSP00000300060,9606.ENSP00000310036,9606.ENSP00000352071,9606.ENSP00000360141,9606.ENSP00000363868,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000376184,9606.ENSP00000378786,9606.ENSP00000380948,9606.ENSP00000411355,9606.ENSP00000452786,9606.ENSP00000480132	ICAM1,IQGAP1,ANPEP,CD34,CD163,GNAS,ABCA1,HLA-DRB5,HLA-C,BDH1,HLA-DRA,ITGB2,PTPRC,ITGB3,NCAM1
GO Component	GO:0005737	Cytoplasm	83	12056	0.14	0.38	0.00018	9606.ENSP00000011473,9606.ENSP00000046794,9606.ENSP00000173229,9606.ENSP00000226218,9606.ENSP00000236959,9606.ENSP00000245907,9606.ENSP00000248594,9606.ENSP00000249330,9606.ENSP00000257860,9606.ENSP00000260665,9606.ENSP00000263578,9606.ENSP00000264613,9606.ENSP00000264637,9606.ENSP00000264828,9606.ENSP00000266041,9606.ENSP00000266254,9606.ENSP00000268182,9606.ENSP00000296220,9606.ENSP00000298159,9606.ENSP00000300060,9606.ENSP00000300648,9606.ENSP00000310036,9606.ENSP00000310623,9606.ENSP00000311469,9606.ENSP00000314649,9606.ENSP00000317780,9606.ENSP00000322706,9606.ENSP00000330737,9606.ENSP00000340019,9606.ENSP00000348128,9606.ENSP00000349577,9606.ENSP00000349748,9606.ENSP00000350314,9606.ENSP00000351646,9606.ENSP00000352071,9606.ENSP00000357055,9606.ENSP00000359151,9606.ENSP00000359258,9606.ENSP00000359497,9606.ENSP00000360141,9606.ENSP00000363868,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000365462,9606.ENSP00000367851,9606.ENSP00000369739,9606.ENSP00000370635,9606.ENSP00000371152,9606.ENSP00000372155,9606.ENSP00000376184,9606.ENSP00000377195,9606.ENSP00000377486,9606.ENSP00000378786,9606.ENSP00000379038,9606.ENSP00000379212,9606.ENSP00000379845,9606.ENSP00000379975,9606.ENSP00000380948,9606.ENSP00000380958,9606.ENSP00000381581,9606.ENSP00000381601,9606.ENSP00000385451,9606.ENSP00000385757,9606.ENSP00000389631,9606.ENSP00000392147,9606.ENSP00000399259,9606.ENSP00000408526,9606.ENSP00000410242,9606.ENSP00000411355,9606.ENSP00000417864,9606.ENSP00000420588,9606.ENSP00000432768,9606.ENSP00000446955,9606.ENSP00000450540,9606.ENSP00000452786,9606.ENSP00000460236,9606.ENSP00000473980,9606.ENSP00000478303,9606.ENSP00000480132,9606.ENSP00000482841,9606.ENSP00000491537,9606.ENSP00000497382,9606.ENSP00000498358	SYPL1,LCP2,NTN1,VTN,ATIC,C3,PTPN12,VGF,PRPH,LRPPRC,FOXRED1,CP,THRA,COL5A3,ITIH4,TTLL1,IQGAP1,OSBPL11,CFL2,ANPEP,GCN1,CD34,ISCU,GSTM1,ALDH5A1,COX5A,HMGCS1,NDUFA12,HSPD1,SVIL,PRODH,SFPQ,BCO2,STIP1,CD163,PEA15,DBT,GCLM,GBP2,GNAS,ABCA1,HLA-DRB5,HLA-C,PCCA,CYBB,BPHL,SLC39A14,ASAH1,PSME1,BDH1,DBN1,MRPL19,HLA-DRA,TYMP,PODN,ABAT,ILK,ITGB2,MBP,LCP1,MX1,MDK,BLVRA,ARPC1B,PPP6C,FCHSD1,IMPA1,IGF2BP2,PTPRC,ANP32A,TFAM,CKAP5,MYL6,SERPINA3,ITGB3,SPON1,MRPL37,POLR2E,NCAM1,CRABP2,FDFT1,CD53,FECH
GO Component	GO:0009986	Cell surface	17	894	0.58	0.62	0.00047	9606.ENSP00000222573,9606.ENSP00000245907,9606.ENSP00000264832,9606.ENSP00000300060,9606.ENSP00000310036,9606.ENSP00000339157,9606.ENSP00000340019,9606.ENSP00000352071,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000378786,9606.ENSP00000380948,9606.ENSP00000380958,9606.ENSP00000411355,9606.ENSP00000452786,9606.ENSP00000480132,9606.ENSP00000497382	ITGB8,C3,ICAM1,ANPEP,CD34,CPM,HSPD1,CD163,ABCA1,HLA-C,HLA-DRA,ITGB2,MBP,PTPRC,ITGB3,NCAM1,CD53
GO Component	GO:0072562	Blood microparticle	7	118	1.07	0.82	0.00053	9606.ENSP00000226218,9606.ENSP00000245907,9606.ENSP00000264613,9606.ENSP00000266041,9606.ENSP00000385035,9606.ENSP00000416561,9606.ENSP00000450540	VTN,C3,CP,ITIH4,C1S,CFB,SERPINA3
GO Component	GO:0005925	Focal adhesion	11	416	0.72	0.62	0.0015	9606.ENSP00000222573,9606.ENSP00000248594,9606.ENSP00000264832,9606.ENSP00000268182,9606.ENSP00000348128,9606.ENSP00000379975,9606.ENSP00000380948,9606.ENSP00000381581,9606.ENSP00000389631,9606.ENSP00000411355,9606.ENSP00000452786	ITGB8,PTPN12,ICAM1,IQGAP1,SVIL,ILK,ITGB2,LCP1,ARPC1B,PTPRC,ITGB3
