Gene_Symbol,direction,LCM_SMD,LCM_FDR
GIMAP4,UP,1.171,0.0123
SGK1,UP,1.169,0.00428
SMOC1,UP,1.168,0.0134
EHD2,UP,1.166,0.0541
CCND2,UP,1.165,0.00525
TNFRSF1A,UP,1.164,0.0144
C3,UP,1.163,0.036
DRG1,DOWN,-1.161,0.056
NTM,UP,1.161,0.0684
MYH9,UP,1.159,0.0688
PQBP1,DOWN,-1.159,0.0116
TMEM203,DOWN,-1.157,0.0328
MED13L,UP,1.155,0.00428
KCNN1,DOWN,-1.152,0.0262
CCDC158,DOWN,-1.152,0.0915
ZNF577,UP,1.143,0.0153
TSPAN14,UP,1.143,0.0771
DNAJC11,DOWN,-1.142,0.0165
HMGB2,UP,1.142,0.0355
DCXR,DOWN,-1.139,0.00428
XRN1,UP,1.138,0.00428
GSDME,UP,1.135,0.0561
UBE2O,DOWN,-1.132,0.0698
TJP2,UP,1.132,0.00434
CRYBB1,DOWN,-1.131,0.0173
TRPC5,DOWN,-1.131,0.0168
SAT1,UP,1.125,0.0651
VPS26B,DOWN,-1.124,0.00434
MTMR11,UP,1.123,0.0335
RFTN2,UP,1.123,0.0173
CD44,UP,1.117,0.0236
NSFL1C,DOWN,-1.115,0.00906
ANO3,DOWN,-1.114,0.0359
PTCHD4,DOWN,-1.113,0.0175
DUSP22,UP,1.112,0.0446
VGLL3,DOWN,-1.111,0.0561
TLR2,UP,1.11,0.0501
CEMIP,UP,1.107,0.0176
NECTIN3,UP,1.107,0.0165
SLC9A8,DOWN,-1.106,0.00961
CXCL16,UP,1.105,0.0949
ENTPD3,DOWN,-1.105,0.0684
TCIM,UP,1.104,0.0264
AIF1,UP,1.104,0.0175
RHOC,UP,1.103,0.0175
DDR2,UP,1.103,0.0088
RPL38,UP,1.101,0.0208
NOG,DOWN,-1.101,0.033
EMP2,UP,1.101,0.0187
APBB1IP,UP,1.1,0.00511
CSGALNACT1,DOWN,-1.099,0.00412
CD163,UP,1.098,0.0197
ZC3H6,UP,1.097,0.00486
ZFP36L1,UP,1.094,0.0477
FAM220A,DOWN,-1.094,0.0328
IGSF21,DOWN,-1.094,0.0268
SND1,UP,1.093,0.00511
CLDN1,DOWN,-1.092,0.00511
WASHC3,DOWN,-1.09,0.0175
DTNA,UP,1.089,0.0286
ABCA1,UP,1.089,0.0053
CLTCL1,DOWN,-1.085,0.02
TMEM267,DOWN,-1.084,0.0175
OSBPL11,UP,1.083,0.00931
ZPLD1,DOWN,-1.081,0.0396
TUBB4B,DOWN,-1.081,0.0236
LDOC1,DOWN,-1.081,0.00428
TYROBP,UP,1.08,0.0123
CCSER1,DOWN,-1.079,0.0197
BCO2,DOWN,-1.078,0.047
CAMK1D,DOWN,-1.078,0.00428
DHRS3,UP,1.077,0.0197
TMEM120A,DOWN,-1.075,0.0116
HECW1,DOWN,-1.072,0.00434
PSD2,UP,1.072,0.0298
SSBP2,DOWN,-1.071,0.00434
PFKP,DOWN,-1.071,0.0469
RPS6,UP,1.07,0.0143
HPSE2,UP,1.067,0.0208
ATP11C,DOWN,-1.067,0.0175
TRHR,DOWN,-1.065,0.0771
TGFBI,UP,1.064,0.00817
CBFB,UP,1.062,0.00774
KCNA1,DOWN,-1.06,0.0799
SLC14A1,UP,1.058,0.0108
EXT2,DOWN,-1.058,0.00428
IFI16,UP,1.054,0.0218
ACADVL,DOWN,-1.054,0.036
GAB2,UP,1.052,0.0233
VCAN,UP,1.052,0.0108
TAPT1,DOWN,-1.051,0.0296
RPS11,UP,1.051,0.049
CFAP46,DOWN,-1.05,0.0393
DSC2,UP,1.05,0.0208
PSMC3,DOWN,-1.049,0.0175
LDAF1,DOWN,-1.049,0.049
ABCC9,UP,1.048,0.0233
FGL2,UP,1.044,0.0295
TSPAN18,DOWN,-1.044,0.057
AMER1,DOWN,-1.043,0.0233
CLYBL,DOWN,-1.039,0.00878
PLCD4,DOWN,-1.038,0.0788
TUBGCP2,DOWN,-1.038,0.0551
LGR4,UP,1.037,0.0236
SCAMP3,DOWN,-1.035,0.0208
MPI,DOWN,-1.035,0.00797
ZNF506,UP,1.035,0.0578
GPNMB,UP,1.034,0.00782
TPPP3,DOWN,-1.033,0.00486
BTG2,UP,1.033,0.0249
REEP3,UP,1.033,0.0144
TMX2,DOWN,-1.032,0.0564
SPX,UP,1.031,0.0277
SLC35D3,DOWN,-1.031,0.057
PCYT1B,DOWN,-1.03,0.0139
SYT17,UP,1.03,0.00895
UACA,UP,1.029,0.0253
DCTPP1,DOWN,-1.029,0.00895
APOLD1,UP,1.028,0.0995
CHD4,DOWN,-1.028,0.0166
SLC16A14,DOWN,-1.027,0.00895
STYK1,DOWN,-1.026,0.0088
TACR1,DOWN,-1.024,0.00906
CBL,DOWN,-1.023,0.00895
TBC1D1,UP,1.023,0.0287
FLII,DOWN,-1.023,0.0233
UTP14A,DOWN,-1.023,0.0607
ELAC2,DOWN,-1.022,0.0274
TCF7L2,UP,1.019,0.0861
ACTR1A,DOWN,-1.018,0.00544
TIGD7,UP,1.016,0.00895
ELK3,UP,1.014,0.047
LRP8,DOWN,-1.014,0.0378
CCDC85B,DOWN,-1.013,0.0212
SLC43A2,DOWN,-1.012,0.0153
ADORA3,UP,1.01,0.0882
CDC34,DOWN,-1.009,0.0254
PECAM1,UP,1.008,0.0253
AP2A1,DOWN,-1.008,0.0175
FAM83D,DOWN,-1.007,0.0108
ZNF138,DOWN,-1.007,0.0303
GABRA5,DOWN,-1.006,0.0314
CCL2,UP,1.006,0.0286
CD86,UP,1.004,0.0437
MSRB1,DOWN,-1.004,0.0254
ARHGEF25,DOWN,-1.003,0.0295
OSBP,DOWN,-1.003,0.0175
NRP1,DOWN,-1.003,0.0193
FOXRED1,DOWN,-1.003,0.00895
ANO4,DOWN,-1.002,0.0328
INPP5B,UP,1.001,0.0561
NPLOC4,DOWN,-1.0,0.00931
HS3ST1,DOWN,-0.999,0.056
ACAD8,DOWN,-0.998,0.0411
RETREG3,DOWN,-0.996,0.0538
CXCR4,UP,0.996,0.0173
CDKN3,DOWN,-0.995,0.034
STUB1,DOWN,-0.993,0.0114
RNFT2,DOWN,-0.992,0.0208
LGI2,DOWN,-0.991,0.0322
CC2D1B,DOWN,-0.991,0.0322
ANKRD6,DOWN,-0.989,0.0208
KLK7,DOWN,-0.988,0.0114
PIK3CG,UP,0.984,0.0598
XRCC6,DOWN,-0.983,0.0698
LRRC4C,DOWN,-0.982,0.00679
STMN2,DOWN,-0.982,0.00894
APEH,DOWN,-0.982,0.0175
MARCHF3,UP,0.98,0.0295
DDX56,DOWN,-0.98,0.0116
PPEF1,DOWN,-0.98,0.012
WWTR1,UP,0.979,0.0252
TRMT2B,DOWN,-0.979,0.0175
BCOR,UP,0.976,0.0537
GRIK4,DOWN,-0.975,0.0352
CDK2,UP,0.975,0.0469
ARHGAP35,DOWN,-0.974,0.0208
GAS7,UP,0.974,0.0398
MEF2C,UP,0.974,0.0175
SERPINB6,UP,0.969,0.0218
RPL37A,UP,0.968,0.0698
TBCB,DOWN,-0.968,0.00774
HUWE1,DOWN,-0.967,0.0208
GPR65,UP,0.967,0.0684
FAM171A1,DOWN,-0.967,0.0578
TIGAR,DOWN,-0.966,0.0187
PRMT6,DOWN,-0.965,0.0114
SNRNP48,DOWN,-0.965,0.00839
SSPN,UP,0.963,0.0268
LUZP2,UP,0.96,0.0393
BBOX1,UP,0.96,0.0359
GPR22,DOWN,-0.959,0.0123
SCMH1,UP,0.958,0.0415
TMEM59L,DOWN,-0.956,0.023
TSPAN31,DOWN,-0.955,0.0175
OLR1,UP,0.954,0.0151
MED12L,DOWN,-0.951,0.0397
RXRG,DOWN,-0.95,0.0125
SANBR,DOWN,-0.95,0.0845
ERI3,DOWN,-0.949,0.0208
EHD1,DOWN,-0.949,0.0338
SYNDIG1L,DOWN,-0.946,0.049
PAQR9,DOWN,-0.945,0.0153
PHF12,UP,0.944,0.0447
HVCN1,UP,0.943,0.0438
BGN,UP,0.942,0.0467
CNTN6,DOWN,-0.942,0.0731
FBLN5,UP,0.942,0.0437
SLC39A13,DOWN,-0.941,0.0953
SLITRK4,DOWN,-0.939,0.00931
METTL7A,UP,0.938,0.0449
AHCYL1,UP,0.938,0.057
MCAT,DOWN,-0.937,0.0212
RNF26,DOWN,-0.936,0.0151
NT5E,UP,0.936,0.0447
PPP1R17,DOWN,-0.935,0.0561
EFNA5,DOWN,-0.934,0.0104
DAPK1,UP,0.933,0.0336
TXLNG,UP,0.933,0.0233
CCNL1,UP,0.933,0.0842
KLC4,DOWN,-0.931,0.0771
PDPN,UP,0.931,0.0233
PGP,DOWN,-0.93,0.0547
IFIT3,UP,0.93,0.0166
CCM2,DOWN,-0.93,0.0219
TUBA1C,DOWN,-0.929,0.0867
ABHD4,UP,0.929,0.0483
IFIT2,UP,0.928,0.0233
RPRM,DOWN,-0.928,0.0173
C11orf87,DOWN,-0.926,0.0173
TREM2,UP,0.926,0.0504
FSD1,DOWN,-0.924,0.0789
HDGFL3,UP,0.923,0.0415
GPR85,DOWN,-0.923,0.0516
ASXL1,UP,0.923,0.0257
EPC1,UP,0.922,0.0868
CDH11,UP,0.921,0.0331
B2M,UP,0.921,0.0174
DPM2,DOWN,-0.921,0.024
AMOT,UP,0.92,0.0504
HERPUD2,UP,0.92,0.0175
IMPDH1,DOWN,-0.92,0.0104
DOCK4,UP,0.919,0.0175
UNC119,DOWN,-0.918,0.0274
DAP,UP,0.917,0.0505
LRP12,DOWN,-0.917,0.0175
CDC37,DOWN,-0.915,0.0246
PHLPP1,UP,0.914,0.0184
FAT1,UP,0.914,0.063
TMA7,UP,0.913,0.0592
ZNF532,UP,0.912,0.0256
POMGNT2,DOWN,-0.912,0.0915
NOA1,DOWN,-0.911,0.0713
ACP2,DOWN,-0.911,0.0175
STK33,UP,0.911,0.0501
SSX2IP,DOWN,-0.91,0.0191
CHEK1,DOWN,-0.91,0.058
GJA1,UP,0.908,0.0875
DCTN1,DOWN,-0.908,0.0973
ZNF521,DOWN,-0.907,0.0185
CADM3,DOWN,-0.906,0.0177
C6orf136,DOWN,-0.906,0.0469
EED,UP,0.905,0.0541
PHC3,UP,0.905,0.0178
RND3,UP,0.904,0.012
THBS2,UP,0.904,0.0182
HYCC1,UP,0.904,0.057
FLNB,UP,0.903,0.0556
ASPHD2,DOWN,-0.902,0.0197
FKBP14,UP,0.902,0.0698
PGAP4,DOWN,-0.901,0.0479
FNIP1,UP,0.901,0.061
PRKCQ,DOWN,-0.901,0.0205
TNRC6C,UP,0.901,0.035
EPS8,UP,0.9,0.0501
GPR162,DOWN,-0.899,0.0318
THOC1,UP,0.899,0.0984
EMP1,UP,0.898,0.0187
FBLN1,UP,0.898,0.0543
TUBG1,DOWN,-0.898,0.0988
NT5C3B,DOWN,-0.897,0.0716
NLK,DOWN,-0.897,0.0191
MTUS2,DOWN,-0.896,0.0639
PDE3B,DOWN,-0.896,0.0915
MAGT1,UP,0.896,0.0915
CSTA,UP,0.895,0.0824
ZMAT4,DOWN,-0.895,0.0561
EML1,DOWN,-0.895,0.0191
ETNPPL,UP,0.895,0.0191
NDNF,UP,0.893,0.0197
PIGN,DOWN,-0.893,0.057
GOLIM4,UP,0.892,0.0286
MGP,UP,0.892,0.0561
PCGF1,DOWN,-0.891,0.0597
CDK5,DOWN,-0.891,0.0208
FXR2,DOWN,-0.891,0.0226
ZFPM2,DOWN,-0.89,0.0209
CAPN5,DOWN,-0.889,0.0191
CYP4F11,UP,0.888,0.057
TM7SF3,DOWN,-0.886,0.0166
MLH3,UP,0.886,0.0209
COL12A1,UP,0.886,0.0309
EIPR1,DOWN,-0.884,0.0995
ANGPT1,UP,0.883,0.036
TENM3,DOWN,-0.883,0.0987
HTT,DOWN,-0.881,0.0556
BRINP3,DOWN,-0.88,0.0226
TSC22D3,DOWN,-0.88,0.0578
PRMT5,DOWN,-0.88,0.0608
LASP1,UP,0.879,0.0239
CARS2,DOWN,-0.879,0.057
CLCN5,DOWN,-0.879,0.0469
SARM1,DOWN,-0.878,0.0212
AKT3,DOWN,-0.878,0.066
EML4,DOWN,-0.877,0.0662
EVI2B,UP,0.877,0.0328
C5orf15,DOWN,-0.877,0.0587
TSPAN33,DOWN,-0.876,0.0175
AMN1,DOWN,-0.876,0.0327
ALKBH6,DOWN,-0.876,0.0242
MARK2,DOWN,-0.874,0.0374
SEC14L2,UP,0.871,0.0642
MAPRE2,DOWN,-0.871,0.0166
TPGS2,DOWN,-0.871,0.0187
SNUPN,DOWN,-0.87,0.0232
MAPK8IP3,DOWN,-0.87,0.0165
EIF3B,DOWN,-0.869,0.0624
ZNF880,UP,0.868,0.0644
IGFBP4,UP,0.867,0.0688
USP46,DOWN,-0.867,0.0824
USP8,DOWN,-0.866,0.0692
NIT1,DOWN,-0.866,0.0808
TTC5,DOWN,-0.866,0.056
SRD5A3,DOWN,-0.865,0.0236
SLC35B3,DOWN,-0.865,0.0226
MRPL37,DOWN,-0.862,0.0236
COX7A1,UP,0.86,0.0447
PDCD6,UP,0.859,0.0771
TRIM36,DOWN,-0.859,0.0212
PRPF4,DOWN,-0.859,0.0256
RIMS1,DOWN,-0.858,0.0175
SLC18B1,UP,0.857,0.0526
SLC45A4,DOWN,-0.857,0.0175
PI4K2A,DOWN,-0.856,0.0483
MRPL58,DOWN,-0.856,0.058
TLR5,UP,0.855,0.0848
ICAM1,UP,0.855,0.0692
NFIX,UP,0.855,0.0688
EPS15L1,DOWN,-0.855,0.0672
ANKRD50,DOWN,-0.853,0.0667
PAPPA,DOWN,-0.85,0.0175
HSPB7,DOWN,-0.85,0.0175
RASGRP3,UP,0.85,0.0684
LITAF,UP,0.849,0.07
ST13,UP,0.848,0.0771
CIAPIN1,DOWN,-0.848,0.0772
INPP4A,DOWN,-0.846,0.0808
KCNA3,UP,0.846,0.0915
CLDN11,UP,0.845,0.0271
PITRM1,DOWN,-0.845,0.0438
PPP3CB,DOWN,-0.845,0.0182
GOLGA2,DOWN,-0.844,0.0789
LRRC8A,DOWN,-0.844,0.0187
SOAT1,UP,0.844,0.0378
HCLS1,UP,0.844,0.0284
CDK5RAP2,UP,0.843,0.0716
CRABP1,UP,0.84,0.071
THBS4,UP,0.84,0.07
COMMD7,DOWN,-0.839,0.0845
SLITRK3,DOWN,-0.839,0.0195
CCDC110,DOWN,-0.838,0.0772
AHSA1,DOWN,-0.838,0.0393
HAVCR2,UP,0.837,0.0461
MAN2A1,UP,0.836,0.0287
CREBZF,UP,0.835,0.0597
PRKCZ,DOWN,-0.834,0.0421
CHI3L1,UP,0.833,0.0338
RASGRF2,UP,0.833,0.0467
ITPKB,UP,0.833,0.0768
OLFM3,DOWN,-0.832,0.0298
ABCD2,DOWN,-0.832,0.0789
ISOC1,DOWN,-0.832,0.0774
CSGALNACT2,UP,0.831,0.0768
C8orf34,DOWN,-0.829,0.0218
TTL,DOWN,-0.829,0.033
FUT9,UP,0.829,0.0304
USP1,UP,0.829,0.0508
NEFL,DOWN,-0.829,0.0848
PSMB6,DOWN,-0.828,0.0295
SHISA6,UP,0.828,0.031
LMOD3,DOWN,-0.827,0.0769
CHRNB2,DOWN,-0.827,0.0805
CCDC184,DOWN,-0.827,0.0832
ALPK1,UP,0.827,0.0688
TRIP13,DOWN,-0.827,0.0684
INO80D,UP,0.826,0.0692
PTPRR,DOWN,-0.826,0.0684
COPS7A,DOWN,-0.826,0.0318
PPP4R3A,UP,0.825,0.0767
SEMA6A,DOWN,-0.823,0.023
GFUS,DOWN,-0.823,0.0731
NTNG2,DOWN,-0.822,0.035
ANO5,DOWN,-0.821,0.0226
FLOT1,DOWN,-0.821,0.0698
WASF1,DOWN,-0.818,0.0606
CD93,UP,0.817,0.0341
UBE3C,DOWN,-0.817,0.0894
ABRA,DOWN,-0.816,0.071
MAB21L2,UP,0.816,0.0791
TM9SF4,DOWN,-0.816,0.081
CRK,DOWN,-0.815,0.0698
LRCH3,UP,0.814,0.0491
C1orf216,DOWN,-0.813,0.0334
GCH1,UP,0.813,0.0556
ERBB4,UP,0.811,0.0776
SLITRK1,DOWN,-0.811,0.023
BRF2,DOWN,-0.81,0.0755
LMAN1,UP,0.81,0.0836
B3GALT5,DOWN,-0.81,0.0351
TRMT10A,DOWN,-0.81,0.0561
ZNF233,DOWN,-0.808,0.0995
DMAC2,DOWN,-0.808,0.0946
GM2A,UP,0.807,0.0644
GPCPD1,DOWN,-0.806,0.0916
FBXO9,DOWN,-0.806,0.0246
KAT7,DOWN,-0.806,0.0349
SESN3,DOWN,-0.806,0.057
SORCS3,DOWN,-0.806,0.0352
PSMD13,DOWN,-0.805,0.0537
ORC5,DOWN,-0.803,0.0356
SYTL4,UP,0.802,0.0848
RCOR1,DOWN,-0.802,0.0351
RGCC,UP,0.801,0.0893
NKTR,UP,0.801,0.0469
