Gene_Symbol,mRNA_logFC,mRNA_adjPval
HAPLN3,-0.971405218,0.000170161
PKD1L3,-0.821407065,0.000187803
PATJ,-0.343932349,0.000193923
SLC5A4,-1.176492303,0.000212353
AK8,-0.627991483,0.000215405
RTEL1,-0.778578907,0.000218138
TCHH,-0.650570437,0.000264357
NANOGP8,-0.949048954,0.000266854
LOC101929719,-1.341244542,0.000270297
LY6G5B,-0.940256404,0.000270297
KCNK15,-0.910003211,0.000272245
PAPLN,-0.805047941,0.000273052
SETDB1,-0.255983895,0.000275094
LOC100506274,-0.882893887,0.000289176
FCHSD1,-0.761246891,0.00030445
TTLL3,-0.670370245,0.000307595
FTH1P3,-0.903313413,0.000307595
TAC1,-1.172715143,0.000319742
AIFM2,-0.481997105,0.000319742
BRE-AS1,-1.021213329,0.000329965
GUF1,0.320781247,0.000330045
ADAM8,-0.912690447,0.000331553
IGSF1,-0.913044732,0.000331553
ODF3B,-1.399113658,0.000331553
CCDC183,-0.677449311,0.000331553
DNAH1,-0.801231515,0.000331553
WASH7P,-0.602776885,0.000331553
NXPH4,-0.916436325,0.000346973
IFNAR1,0.264078073,0.000356445
IL13RA2,-1.006266439,0.000356445
C19orf71,-0.821089201,0.000356815
LINC00265,-0.588614611,0.000365367
SLC12A1,-0.831649703,0.000392366
LOC105378696,-0.896210564,0.00039945
SEC31B,-0.696377714,0.000400745
HERC2P9,-0.590531087,0.000417561
ASIC3,-0.824478577,0.000420956
UPP1,-0.466412393,0.000448838
MORN1,-0.539156648,0.000448838
TFAMP1,-0.933626006,0.000468902
RHOT2,-0.586929881,0.000472178
BEAN1-AS1,-1.010512944,0.000472178
UPB1,-0.998081911,0.000515488
SGSH,-0.606410248,0.000525482
GPR132,-0.704299322,0.000525482
ALLC,-1.334748049,0.000533589
NOXA1,-0.858628537,0.000548836
SPPL2B,-0.660843621,0.000548836
GNMT,-0.909184149,0.000548836
LINC00641,0.310641796,0.000582173
PRSS27,-0.774179744,0.000587581
IGSF22,-0.788985711,0.000587581
TOP3A,-0.283177078,0.000616024
PRLR,-1.067407703,0.000632679
RRAGD,0.307877362,0.000636059
ZZEF1,-0.243704836,0.000637329
LOC100128361,-0.647394551,0.000663227
LIPE-AS1,-0.510687531,0.000676231
SFI1,-0.52764404,0.000676231
LOXL2,-0.845214797,0.000676231
BAIAP2L1,-0.999895651,0.000676231
SDS,-0.96480754,0.000678351
RHBDF1,-0.662962942,0.000678351
CHKB,-0.514448765,0.000680534
MORC2-AS1,-0.83086874,0.00071922
DOCK6,-0.761485964,0.000730424
PRODH,-0.691598913,0.000740426
PCSK4,-0.65020949,0.000785494
NSUN7,-0.934533467,0.000801274
LENG8,-0.787003751,0.000831045
MIR6891,-0.892400353,0.000831045
MUC20,-0.927674546,0.000831045
TDRD10,-0.843909477,0.000862551
COL7A1,-0.967681253,0.000896975
ZFR2,-0.835154068,0.000896975
GBP5,-0.803244869,0.000900078
PCDHB17P,-0.595727759,0.000917152
GOLGA8A,-0.648272585,0.000923006
ADAMTS10,-0.751946102,0.000929038
H2AFV,0.274008922,0.000929038
P3H1,-0.50715711,0.000954384
MDK,-0.758288499,0.000964787
ZBTB49,-0.279398741,0.001011425
AKR7L,-0.719893364,0.001011425
FANCG,-0.475387877,0.001011425
CCDC180,-0.553432274,0.001075507
CDH3,-0.649671322,0.001085609
GLYCTK,-0.768926819,0.001105509
ANKZF1,-0.499313179,0.001148945
SCARF1,-0.610535408,0.001153366
LOC729815,-1.095627152,0.001169726
LOC100499484-C9ORF174,-0.524764814,0.001169726
NDST2,-0.357255039,0.001169726
FXYD2,-0.962006349,0.001169726
PIGL,-0.429746896,0.001169726
SHISAL2A,-1.204249043,0.00120884
RIPK1,-0.360646344,0.001226212
MAPK8IP1P2,4.462933029,0.001303127
EXD3,-0.697046383,0.001303174
PIGG,-0.319116232,0.001303174
HLA-F,-0.7832499,0.001303174
DISP3,-0.56356248,0.001341528
RPSAP58,0.566525714,0.001359244
MSH5-SAPCD1,-0.754548485,0.001359296
LOC100133091,-0.439049232,0.001359296
TMEM234,-0.603625305,0.001359296
USP46,0.307859716,0.001359296
MRPL19,0.330537588,0.001378959
AP1G2,-0.969705591,0.001392391
CCDC78,-0.808666852,0.001392391
ST8SIA2,-1.096661078,0.001448366
LOC100630923,-0.318522862,0.001461933
SOX3,-0.97654291,0.00146811
C2orf74,0.418268752,0.001486496
PKD1P4-NPIPA8,-0.864681382,0.001525779
ZNF615,0.30402396,0.001528734
ZNF76,-0.398690819,0.001539528
SKOR1,-0.743705028,0.001567104
ZDHHC19,-0.905625991,0.00157367
CATSPER3,-0.417062206,0.001586841
PPIP5K1P1-CATSPER2,-0.591896162,0.001637391
ABCC8,-0.643841827,0.001638743
OGFRL1,0.446038765,0.001647542
PKD1P5-LOC105376752,-0.833200001,0.001663526
LOC729737,-0.887214597,0.001672966
GBP1P1,-0.885664697,0.001672966
CDK5RAP1,-0.235319287,0.001672966
ZHX1,0.351427661,0.001679909
COQ4,-0.379997375,0.001679909
KLF9,0.380846811,0.001681565
CHKB-CPT1B,-0.55180974,0.001690139
NAP1L1,0.340809432,0.00177093
TLE6,-0.816039402,0.001774878
SZT2,-0.454426818,0.001774878
CCDC114,-0.886530403,0.001784818
SP140,-0.479074539,0.00179568
MEGF9,0.27792754,0.001824074
SNX29P2,-0.648523543,0.001824074
VWCE,-0.650082817,0.001826309
SNAPC4,-0.551843512,0.001827577
NUP62CL,-0.816255164,0.001863813
C15orf39,-0.512639237,0.001867261
NEK8,-0.643251044,0.00187193
SCNN1D,-0.685758645,0.001973729
RMND5A,0.373302157,0.001984356
OVCA2,-0.356065881,0.001995356
LOC101929767,-0.347568218,0.001999028
ESPNP,-1.024992762,0.002017199
CROCC,-0.641683724,0.002052129
SOX7,-0.659069218,0.002113643
FAM71F1,-0.718452183,0.002143018
LINC01238,-0.703981896,0.002171958
GPRIN2,-0.80501075,0.002171958
NOD1,-0.578145949,0.002171958
CYSLTR2,-0.811368627,0.002171958
HDAC6,-0.367149363,0.002183057
SLC25A10,-0.447719309,0.002198103
SPIRE1,0.223050633,0.00220252
TMEM147-AS1,-0.527991743,0.002204735
PMFBP1,-0.6451816,0.002209378
MYO19,-0.469211327,0.002209378
PNPLA7,-0.702384291,0.002209378
PABPC1L,-0.603745488,0.002212439
CPSF2,0.287248558,0.002220615
OVGP1,-0.609700972,0.002220615
PMS2P3,-0.374108298,0.002220615
TBC1D5,0.192103373,0.002243791
GUSBP11,-0.532754219,0.002268227
MEI1,-0.616939799,0.002269973
VGLL3,-0.848060681,0.002275341
TBX2,-0.952837821,0.002275341
POMT1,-0.378865264,0.002275341
DNAJC21,0.26294196,0.002275341
SEC22C,0.191177995,0.002275341
COL22A1,-1.036305984,0.002275341
GPR84,-1.128499725,0.002324784
RABGAP1,0.210929973,0.002324784
AFG3L1P,-0.588659032,0.002337479
SLC37A4,-0.335364917,0.002348496
THBS3,-0.627488126,0.002348496
BCL2L15,-0.480211422,0.002350532
NBEAL2,-0.697184563,0.002350532
HOTS,-1.240433235,0.002350532
KANSL3,-0.22903185,0.002470157
TM6SF2,-0.709966519,0.002470157
PRKRIP1,-0.326721614,0.002470157
TMEM175,-0.418659559,0.002512897
C11orf96,-1.062486478,0.002513468
MAN2C1,-0.487169202,0.002554628
TNXB,-0.582369966,0.00256471
LINC01219,-1.212065772,0.00256471
CCDC57,-0.703226236,0.002574363
LOC729218,-0.565538569,0.002574363
ZNF446,-0.423436741,0.002596558
TMEM220-AS1,-0.659235934,0.002596558
ZAP70,-0.848208557,0.002596558
ZMIZ1-AS1,-0.633847831,0.002596558
COL6A4P2,-0.665298157,0.002632866
ISYNA1,-0.590564969,0.002648176
B9D1,-0.429742144,0.002650128
CWF19L2,0.317175448,0.002661304
SDHAP2,-0.564447579,0.002661304
NAA40,-0.326367898,0.002661304
LINC01833,-1.544938818,0.002661304
FNBP4,-0.312651207,0.002661304
ITFG2,-0.32877437,0.002661304
GCH1,-0.482636355,0.002661304
ADGRE1,-1.388555905,0.002661304
GIMAP5,-0.596719668,0.002661304
STPG3-AS1,-0.847898981,0.002661304
LILRB2,-0.969269527,0.002661304
ITGA2B,-0.698330593,0.002663509
ECHDC2,-0.510708859,0.002663509
TRMU,-0.318695306,0.002663509
ARHGAP27P1-BPTFP1-KPNA2P3,-0.444715782,0.002663509
DBT,0.257016339,0.002685153
IGIP,0.306269707,0.002685153
IL15RA,-0.611017908,0.002704322
BEST4,-0.746360827,0.00271302
DVL2,-0.414096865,0.00271302
ZNF764,-0.313797543,0.002718313
INHA,-0.816009887,0.00273408
MSH5,-0.70400929,0.00273408
TNFAIP3,-0.75744792,0.00273408
C10orf82,-0.58905064,0.002745904
WNT11,-0.798522799,0.002745904
CDC42EP5,-0.884227929,0.002746143
ALDH3A2,0.335068997,0.002772596
CXorf57,-0.576064826,0.002784736
FCN1,-1.051841021,0.002784736
COG7,-0.288886724,0.002784736
MST1,-0.625410529,0.002784736
CARMN,-1.354145721,0.002789104
PCAT6,-0.599298331,0.002821424
THBD,-0.914409514,0.00282432
HSF4,-0.646497302,0.0028706
ARID3B,-0.448796381,0.002913025
TUBGCP6,-0.481989603,0.002932983
MSTO1,-0.404686767,0.003015544
TBC1D26,-0.77249482,0.003054931
MYL5,-0.71218012,0.003054931
RAD9A,-0.535067415,0.003054931
OSGEP,-0.316892038,0.003064794
STX16-NPEPL1,-0.29342673,0.003076265
NLRP1,-0.697969081,0.003076265
SERBP1,0.262980033,0.003108108
DPH6-AS1,0.536608804,0.003135234
GPATCH8,-0.244328955,0.003181955
TRIM73,-0.866483802,0.003200955
OSM,-1.023857813,0.003214304
FGFBP3,-0.398657842,0.003214304
COQ6,-0.230016963,0.003214304
PLEKHG2,-0.75923676,0.003215546
SORT1,0.395667745,0.003243947
PHF20,0.207959638,0.003252174
CPSF4,-0.291687468,0.003252174
SNRNP70,-0.473421835,0.003252174
SLC1A7,-1.290010901,0.003252174
SPAG6,-0.671999244,0.003252174
LCN12,-0.665109129,0.003261674
CYP2D7,-0.822618249,0.003262283
SLC4A11,-0.686922842,0.003262283
REELD1,-0.966103945,0.003262283
SLC13A5,-0.765378593,0.003265645
TRIQK,0.400847468,0.003299388
PPIL2,-0.325010332,0.003302481
ISM1,-0.705716536,0.003302481
ISG20L2,-0.250693984,0.003302481
TMEM74,0.404594741,0.003302481
SEMA6D,0.293985784,0.003302481
CEP89,-0.282480736,0.003302481
PLPP5,-0.367847741,0.003302481
C1QTNF1,-0.818016062,0.003302481
WDR60,-0.315471857,0.003302481
AGER,-0.748362772,0.003323382
HMCN2,-0.919567301,0.003323382
ASL,-0.419888165,0.003323382
NECTIN2,-0.461790364,0.003323382
RDH13,-0.467256224,0.00333777
NXNL2,-0.695774198,0.00333777
ULK4,-0.292720363,0.00333777
CCNL2,-0.369621554,0.003355944
PRMT7,-0.324189356,0.003381769
AIDA,0.343597896,0.003397565
SARDH,-0.522842662,0.003397565
ITIH4,-0.821538668,0.003397565
LPA,-0.685436896,0.003397565
NAGS,-0.795272486,0.003414523
HERC2P4,-0.882511724,0.003431711
VWA3A,-0.789981892,0.003473521
TTC21A,-0.609658732,0.003473521
FAM69A,0.338576983,0.003578384
PLIN5,-0.607434399,0.003578384
FLJ30901,-0.942355913,0.003712001
KLHL1,-0.570259925,0.00375882
AQP7P1,-1.014100126,0.003830365
GOSR2,-0.150217897,0.003875752
SCX,-0.686203163,0.003901113
FADS3,-0.453739091,0.003913483
SCN9A,-0.57329855,0.003950017
MYO3B,-0.750691652,0.004049228
ZFP91,0.287025686,0.004049799
MICALL2,-0.727433412,0.004068278
RALBP1,0.226291851,0.004075922
SLC30A4,0.323784309,0.004081209
GTF3C2,-0.193837851,0.004081209
PBX4,-0.650855377,0.004081209
JMJD7-PLA2G4B,-0.643826343,0.004081209
ACHE,-0.592712761,0.004081209
CBX5,0.219396408,0.004081209
ARVCF,-0.384795498,0.004081209
PAGR1,-0.401883246,0.004094216
MMP25-AS1,-0.66201033,0.004096295
SH3D21,-0.667136278,0.004159576
TAOK1,0.278991052,0.004159576
IL11RA,-0.47675946,0.004160588
ARHGAP8,-0.853672152,0.004192181
ALK,-0.383350329,0.004210357
PTK7,-0.469797352,0.004249614
HNRNPC,0.268257354,0.004258611
LOC100133331,-0.724324767,0.004266736
GALT,-0.382315577,0.004266736
PPP4R2,0.424455938,0.004290375
HCRTR1,-1.072434416,0.004327842
OAZ3,-0.532384593,0.004327852
INIP,0.206748364,0.004368837
TARP,-0.903041852,0.004368837
VTN,-0.686425038,0.004368837
COL4A3,-0.693590513,0.004379502
SCARF2,-0.509646521,0.004379502
STK19,-0.324268741,0.004379502
CABYR,0.334455105,0.004379502
LRRC56,-0.607947912,0.004379502
SFTPA2,-0.817424317,0.004379502
ZNF346,-0.256276214,0.004379502
LRRC74B,-0.9587185,0.004381553
TRMT44,-0.414331782,0.004381553
DPH1,-0.384843493,0.00438997
UPK3B,-0.810874054,0.00445208
JRKL,0.306135447,0.004475493
OBSL1,-0.363514386,0.004480317
FLJ45513,-0.716774924,0.004537323
LOC100289561,-0.352598457,0.004547088
PKD1,-0.657684432,0.004563559
SNORA67,-0.566400396,0.00457083
CEP131,-0.457232215,0.004588264
AGAP6,-0.44212229,0.004588407
CCDC130,-0.367731356,0.004621936
ARHGAP6,-0.5138592,0.004659301
OGFOD3,-0.426402839,0.00466327
IFT172,-0.318764966,0.004666758
RGS11,-0.639449206,0.004666758
PLCD4,-0.441337596,0.004666758
PTGES3,0.407998295,0.004723815
LOC155060,-0.599325855,0.004741337
PLA2G4B,-0.719640605,0.004748902
LINC01237,-0.640612605,0.00477412
ZNF570,0.256427203,0.004805841
METTL3,-0.216374808,0.004891648
PSMG3-AS1,-0.388129279,0.004891648
CC2D1A,-0.422391208,0.004891648
ACTA1,-0.598460141,0.004908358
TEAD3,-0.659314625,0.004908358
SECTM1,-1.072192326,0.004943278
LOC339685,-0.998435702,0.004943278
GPBP1,0.288026655,0.004943278
TMEM191C,-0.548914736,0.004943278
CEP164,-0.461307034,0.004943278
PKD1P3-NPIPA1,-0.619843751,0.004943278
DHX58,-0.441622521,0.004943278
PRF1,-1.048351031,0.004943278
TEKT2,-0.611185253,0.004997579
ALPK3,-0.434607422,0.004997579
SLC26A10,-0.926666466,0.005046212
PON3,-0.692218109,0.005046212
TMOD4,-0.75681699,0.005067369
VAT1L,-0.570712588,0.005071033
KIAA1109,0.236336669,0.005102768
NR2C2,0.169157923,0.00511173
LRRC29,-0.499835417,0.005127304
EXTL3-AS1,-0.537717568,0.005135461
C19orf66,-0.307782141,0.005214232
PPP1R9A,0.292949867,0.0052331
RASA4B,-0.570808205,0.005249407
STARD7,0.263291903,0.005249407
ANKRD2,0.793415996,0.005391891
C20orf204,-0.732294148,0.005420928
LAMA5,-0.736074534,0.005421194
ZSCAN5A,-0.273694963,0.005421194
DNAAF1,-0.642579823,0.005568512
IL17RC,-0.461486932,0.00565605
GIMAP1-GIMAP5,-0.527834736,0.00565605
NSUN5P1,-0.542828498,0.00569838
SRGAP2B,0.291567644,0.005713699
LINC01396,-0.826072675,0.005804411
CIPC,0.265000312,0.005804411
VENTX,-1.115238939,0.005804411
RAB8B,0.351142077,0.005842826
LOC101928266,-0.944119354,0.005851927
ACADVL,-0.338216799,0.005853328
DLL4,-0.7986361,0.005863148
PCOLCE2,-0.830575161,0.005865462
TAF1C,-0.538608976,0.005865462
POU2F2,-0.488797836,0.005865462
NLRP2B,-0.534152101,0.005865462
LMO2,-0.533036646,0.005896952
ZSCAN1,-0.677057392,0.005979256
SELENOO,-0.376212595,0.006015501
CMBL,0.255903701,0.006015501
LOC150776,-0.574020478,0.006015501
ANGPT1,0.865112008,0.006057012
CFAP74,-0.66175483,0.00610586
PTOV1-AS2,-0.709177066,0.00610586
GGT1,-0.598263308,0.00610586
MSANTD4,0.234610973,0.00610586
GPR78,-0.853485704,0.00610586
CA12,-0.713352589,0.006110079
CYP21A1P,-0.869935059,0.006161598
DRC3,-0.612878873,0.006161598
NUP85,-0.278920607,0.006162961
UGGT1,0.168839461,0.006162961
LUC7L,-0.276659419,0.006178526
STC1,-1.312331771,0.006190537
ACTG1P4,-0.479974238,0.006235503
KCNK10,0.254908632,0.006241369
AMT,-0.366642723,0.006258716
IPO7,0.316713846,0.006266458
LINC00884,-0.468091799,0.006295076
RHOH,-0.829415419,0.006295076
PMM2,-0.384268701,0.006295076
TEKT5,-0.838115772,0.006295076
MAML1,-0.321878569,0.006357975
CCNI,0.321081354,0.006357975
PCDHGB4,-0.391396015,0.006357975
CMTM4,0.209278802,0.006400729
TMEM145,-0.461990796,0.006406568
LINC01529,-0.676764755,0.006406568
LINC01679,-0.628812953,0.006411895
MAP3K2,0.277458132,0.006416876
RAB22A,0.285510197,0.006416967
HSP90AA1,0.560078636,0.006416967
SLC19A3,-0.564271304,0.006416967
LOC401320,-0.318233861,0.006416967
EIF3J,0.245589996,0.006416967
PALM2,0.384194057,0.006416967
GDE1,0.262863021,0.006416967
EVI5,0.236625419,0.006416967
CERS3,-0.692147076,0.006416967
ADAMTS7P1,-0.854677767,0.006416967
PUM2,0.261053182,0.006431188
CPA4,-0.674611442,0.006464585
CRK,0.216696694,0.006495505
SNORD116-4,-0.54197001,0.006545857
CCDC183-AS1,-0.569763403,0.006613879
SNAPC3,0.207883636,0.0066556
PEX5L,0.357244902,0.00671477
KLHL2,0.315722347,0.00671477
EFCAB6-AS1,-0.721432474,0.006725455
SLC2A11,-0.305878088,0.006781637
C5orf56,-0.351773704,0.006830765
SETD7,0.341286986,0.006830765
WDR77,-0.220736218,0.006847101
SRRM2,-0.331029392,0.006885949
GUCY1A1,0.407715551,0.006885949
ANKS3,-0.407974172,0.006898534
NPIPA5,-0.910115621,0.006905322
RSPH4A,-0.70904035,0.006954942
MTDH,0.250676619,0.006956035
EFCC1,-0.604390393,0.006956035
DDAH1,0.296902182,0.007052534
PURA,0.254376728,0.007052534
HLA-C,-0.515720146,0.00707207
PLEKHM1P1,-0.562348518,0.007107242
IRF2BP2,0.358421582,0.007107242
ANO1,-0.651529934,0.007107242
LINC02245,-0.77292955,0.007160216
ODF2,-0.336144338,0.007191088
POLR2D,0.210096944,0.007216957
NNT-AS1,0.203994069,0.007250236
ZNF189,0.307132807,0.007250236
MRI1,-0.370912653,0.007312193
CORO6,-0.766949158,0.007336742
C22orf39,0.185021297,0.007351097
NEIL1,-0.616815411,0.007351865
HKDC1,-0.763241678,0.007360279
SKAP2,0.335053872,0.007381314
MED12,-0.243685366,0.007396472
LOC100288162,-1.37500655,0.007396472
NSUN2,-0.254350115,0.007396472
DNAH2,-0.705766655,0.007396472
C1orf159,-0.446282945,0.007396472
FANCD2,-0.391195912,0.007396472
PCDHB5,-0.284536749,0.007423125
ABCG2,-0.621626273,0.007471932
MX2,-0.622575635,0.007474243
CD69,-1.060950319,0.007513411
P3H3,-0.68043377,0.007534354
SLC29A1,-0.366108164,0.00753627
F11R,-0.496854802,0.007543483
MROH8,-0.297063841,0.007547714
LNPEP,0.258631325,0.007547714
FPGS,-0.418384303,0.007566468
GNAQ,0.273219709,0.007638408
SLC35C2,-0.298804414,0.007705953
CDKL2,0.307712829,0.007705953
RING1,-0.255053076,0.007712794
FEM1B,0.365472959,0.007727096
BRICD5,-0.635798912,0.007732634
CCR10,-0.552938692,0.007764866
FGF17,-0.922903157,0.007764866
FBXO48,0.295418519,0.007764866
KCNG4,-0.855841156,0.007849971
SRA1,-0.223172438,0.007895584
CCDC84,-0.378790128,0.007943807
PMS2CL,-0.350788073,0.007943807
UBE2G1,0.246846332,0.007943807
USP35,-0.330440007,0.007943807
USP36,-0.319918711,0.00794968
MLXIP,-0.374337987,0.007951601
TNFSF10,-0.71025268,0.007951601
NKAPD1,0.260627403,0.007951601
LOC102723753,-0.960879368,0.007956914
SCRN2,-0.326697473,0.0079784
MDC1,-0.272479146,0.00798028
OPLAH,-0.535458441,0.008059727
FBXO45,0.314607847,0.008059727
TMEM120B,-0.394533986,0.008105979
SMC2,0.401628598,0.008105979
ARL17B,0.69625325,0.008152031
RANBP2,0.249361101,0.008156048
CFAP73,-0.768230679,0.008179681
TMC2,-0.619143365,0.008251048
CDC5L,0.253012186,0.008255761
KLHDC4,-0.318257278,0.008255761
LAT,-0.755787202,0.008255761
TMEM61,-0.816119042,0.008255761
JMJD7,-0.432248326,0.008255761
NAT9,-0.283217681,0.008255761
NAA50,0.294329323,0.008267273
FAHD2A,-0.205571124,0.008267273
RHOJ,-0.374896469,0.008318864
CYP2S1,-0.620135929,0.008318864
DPH3,0.336879915,0.008342627
PDGFRB,-0.562254355,0.008342627
SHH,-0.552854774,0.008354658
FAM160B2,-0.38692595,0.008462309
PLPBP,0.21400824,0.008466434
MICAL1,-0.54606614,0.008466434
WSB2,0.236232653,0.008466434
PTCH2,-0.672037082,0.008466434
BTBD3,0.302097881,0.008466434
CENPT,-0.386814408,0.008466434
RASA4,-0.465041087,0.00847806
UTP14C,0.224014271,0.008488527
DHRS13,-0.346407404,0.008488527
PNKP,-0.392577701,0.008488872
POLL,-0.263883965,0.008488872
DRD2,-0.652037934,0.008488872
TUBA3FP,-0.54920595,0.008488872
SLC26A11,-0.403088868,0.008488872
DLEC1,-0.777395141,0.008519003
ANKMY1,-0.439055199,0.008530864
TYW3,0.36378238,0.008572425
SREK1IP1,0.309268277,0.008586921
ZBTB44,0.287435995,0.008593804
SLC12A5-AS1,-0.579857863,0.008611365
SLC37A1,-0.422098195,0.008612961
XAF1,-0.458983168,0.008612961
CRYZ,0.471619598,0.008612961
SNORD116-22,-0.554993932,0.008616668
LOC100506271,-0.776713206,0.008637536
PIF1,-0.527236739,0.008637536
MX1,-0.3852816,0.008637571
NPIPB3,-0.67105021,0.008637571
EIF4G2,0.243219137,0.008652306
TNFRSF6B,-0.822847131,0.008654937
MUC1,-0.872239756,0.008682105
IL21R,-1.272813618,0.008682105
LOC152048,-0.457709943,0.008682105
CLASRP,-0.532214645,0.008682105
GTF3A,0.23589616,0.008682105
EPS15,0.296043177,0.008804737
C6orf62,0.267863408,0.008817382
LOC100130283,-0.645979868,0.008817382
CPD,0.329764739,0.008821813
SNORD26,-0.480821106,0.008880652
URI1,0.300947273,0.008921985
ITSN2,0.17677506,0.008921985
SRPK2,0.227839548,0.008921985
FXR1,0.367374403,0.008921985
SRGAP2C,0.289627248,0.008921985
XIAP,0.24715376,0.008968557
SCUBE2,-0.403497314,0.008982417
MTG2,-0.273469985,0.008988558
FBF1,-0.438503441,0.008990339
THBS4,-0.286321224,0.008990339
ATP4A,-0.91046211,0.009017218
IER3,-0.644184598,0.009072472
AQP7P3,-0.824416133,0.009100694
ZBTB41,0.326794422,0.0091104
POLM,-0.446322671,0.009110402
TFAP2E,-0.64778466,0.009110402
GNA13,0.436234773,0.009120382
CCDC36,-0.709003364,0.009146639
SUSD2,-0.9303993,0.00918402
ZRANB1,0.211841473,0.009197892
DNAI1,-0.585911519,0.009287696
NINL,-0.421329088,0.009326487
CCDC93,-0.216526088,0.009413627
EDEM3,0.273046626,0.009425572
SDHAP3,-0.349440874,0.009444106
ADNP,0.16376608,0.009459657
LCNL1,-0.815117531,0.00946935
CALB2,-0.779820162,0.009518701
MROH1,-0.47496566,0.009556921
MATN3,-0.715312272,0.009556921
VWA5A,-0.492053567,0.009559212
RBM4,-0.155386339,0.009561106
GRP,-0.973496085,0.009672279
PPIL4,0.236185832,0.009694846
OGFR,-0.36978516,0.009777335
CECR7,-0.511012705,0.009777335
PCDHB18P,-0.369614594,0.00978298
XPO1,0.316046713,0.00978298
FAM193B,-0.298999984,0.00978298
PAPPA,-0.655741237,0.009874553
ADAMTSL4-AS1,-0.7013972,0.009874553
PKD1L1,-0.46157357,0.009962304
H1FX-AS1,-0.518655607,0.009973549
ARRDC1,-0.444753491,0.010087545
MIR1914,-0.791575663,0.010108509
FAM98A,0.269941153,0.010108509
HOOK3,0.19991367,0.010168417
SET,0.264715221,0.010168417
ATP2C1,0.244094595,0.010168417
GIT2,-0.191133401,0.010168417
AFAP1-AS1,0.638553507,0.010168417
MIR4292,-0.648820049,0.010169699
MIB1,0.256129019,0.010194801
KIAA0368,0.150472404,0.010213323
MED22,-0.257340728,0.010221798
MAP2K6,0.323674097,0.010465085
SPG7,-0.268056758,0.01047631
PRPF40B,-0.368320726,0.01047639
HECTD1,0.236500787,0.010493913
ACBD5,0.250721986,0.010493913
GUCY2C,-0.728339986,0.010493913
HS3ST3B1,-0.76439116,0.010493913
YOD1,0.407581279,0.010493913
MPP5,0.385063433,0.010493913
CFAP65,-0.543254027,0.010493913
AP5Z1,-0.373577773,0.010493913
