"Gene_Symbol","Entrez"
"CFAP97","57587"
"MPC2","25874"
"TMEM9B","56674"
"SEC22B","9554"
"RGS18","64407"
"MYCBP2","23077"
"ZNF813","126017"
"SLC7A14","57709"
"GON7","84520"
"SSBP2","23635"
"YIPF7","285525"
"WAPL","23063"
"TM2D2","83877"
"RERG","85004"
"PIP4K2C","79837"
"MAP3K7","6885"
"RPL23A","6147"
"MIR1284","100302112"
"TRIM36","55521"
"ADCY10","55811"
"FAM133B","257415"
"TRMT10C","54931"
"EPC2","26122"
"SYNJ1","8867"
"MAL2","114569"
"PRDX6","9588"
"UTP14A","10813"
"FBXO11","80204"
"MFSD14A","64645"
"ARV1","64801"
"MORF4L2-AS1","340544"
"MIR4474","100616441"
"TXNL1","9352"
"RPL32","6161"
"ANKRD18CP","101926917"
"BLM","641"
"CUTC","51076"
"KLHL9","55958"
"OTUD7B","56957"
"RBM41","55285"
"FAT2","2196"
"BLOC1S2","282991"
"ZNF32","7580"
"KIF6","221458"
"ZDHHC22","283576"
"EPHX4","253152"
"PDCL","5082"
"TIPARP","25976"
"CCDC59","29080"
"SNORA58B","109617023"
"KCNE3","10008"
"CENPX","201254"
"COMMD2","51122"
"MIR628","693213"
"KAT14","57325"
"LSM2","57819"
"TUBB4A","10382"
"NIP7","51388"
"CLK1","1195"
"RAB18","22931"
"TULP4","56995"
"SERAC1","84947"
"C9orf85","138241"
"IFNA13","3447"
"DIO2","1734"
"ICE2","79664"
"RIMS3","9783"
"PLCXD3","345557"
"EBAG9","9166"
"PREX1","57580"
"PPARG","5468"
"CFAP206","154313"
"PAPOLG","64895"
"ZNF675","171392"
"VAMP8","8673"
"ITFG1","81533"
"TMEM263","90488"
"LINC02381","400043"
"CYP2C18","1562"
"ZNF780A","284323"
"C4orf46","201725"
"GCSH","2653"
"ATL2","64225"
"ZFP14","57677"
"MYO9A","4649"
"TIMM21","29090"
"S1PR3","1903"
"ZFAND5","7763"
"DNAH12","201625"
"MIPEPP3","650794"
"SLC25A21-AS1","100129794"
"KCTD6","200845"
"SLC17A7","57030"
"WHRN","25861"
"XPR1","9213"
"SSR3","6747"
"TMEM26","219623"
"STMN4","81551"
"RTP1","132112"
"BDNF-AS","497258"
"NUDCD2","134492"
"SAR1B","51128"
"LGI1","9211"
"MIR4426","100616345"
"NPC1L1","29881"
"SYT16","83851"
"LOC101928251","101928251"
"MTREX","23517"
"STYXL1","51657"
"FLRT2","23768"
"PHLPP1","23239"
"WDFY2","115825"
"PDE10A","10846"
"ITGB1BP2","26548"
"PHACTR3","116154"
"BTF3L4","91408"
"ZMAT4","79698"
"SGO2","151246"
"UBA2","10054"
"EEF1E1","9521"
"NUDT11","55190"
"BRWD1","54014"
"GAB2","9846"
"UNC5C","8633"
"SNORA25","684959"
"LOC105372480","105372480"
"BCCIP","56647"
"KIAA1958","158405"
"SYK","6850"
"MYLIP","29116"
"TOMM7","54543"
"AK6","102157402"
"GLRX2","51022"
"GDAP1","54332"
"SCYL2","55681"
"ZNF571","51276"
"GPR161","23432"
"AEBP2","121536"
"NOL11","25926"
"PSRC1","84722"
"MCTP1","79772"
"DRD5","1816"
"ZNF818P","390963"
"RTRAF","51637"
"PLRG1","5356"
"BAG5","9529"
"CITED2","10370"
"EHBP1","23301"
"EIF2A","83939"
"GTF3C3","9330"
"KCND2","3751"
"MIR618","693203"
"FUCA2","2519"
"NUDT16","131870"
"ZNF880","400713"
"POLR2I","5438"
"UBE2QL1","134111"
"MIEN1","84299"
"VPS13A","23230"
"CEP41","95681"
"AKR1C3","8644"
"SPTSSB","165679"
"KDM6A","7403"
"RACGAP1","29127"
"ZSWIM6","57688"
"PTPRT","11122"
"ALG10","84920"
"PLXDC2","84898"
"DLGAP1-AS3","201477"
"ERP44","23071"
"KCNJ8","3764"
"CWC22","57703"
"KCTD12","115207"
"MED13","9969"
"KIF5C","3800"
"CDC26","246184"
"ZBED5","58486"
"TM7SF3","51768"
"GPR158","57512"
"GPR21","2844"
"CEP170","9859"
"BCL2L13","23786"
"NT5C1B-RDH14","100526794"
"SLMAP","7871"
"ATAD1","84896"
"FGD5-AS1","100505641"
"ZNF627","199692"
"KLHL13","90293"
"RNF20","56254"
"SGCE","8910"
"SEPSECS","51091"
"TRAPPC8","22878"
"PCDH11X","27328"
"NOTUM","147111"
"PLCD3","113026"
"HTR5A","3361"
"TAS2R13","50838"
"RNGTT","8732"
"GCC2","9648"
"MIPOL1","145282"
"CDC40","51362"
"LOC643406","643406"
"SGCZ","137868"
"CPED1","79974"
"OPRK1","4986"
"JOSD2","126119"
"DICER1","23405"
"FRMPD4","9758"
"PCNX4","64430"
"PRDM6","93166"
"LOC105377448","105377448"
"MTX3","345778"
"C1GALT1C1","29071"
"ZNF704","619279"
"FAM149B1","317662"
"CSTF2T","23283"
"DARS2","55157"
"SIAH1","6477"
"NBN","4683"
"C1orf21","81563"
"COMMD8","54951"
"ZNF25","219749"
"TAF2","6873"
"UBR3","130507"
"CYLD","1540"
"METTL14","57721"
"UGGT1","56886"
"ECT2","1894"
"COX11","1353"
"POT1","25913"
"KCNJ6","3763"
"EXOC8","149371"
"GMPS","8833"
"POLR3B","55703"
"SCCPDH","51097"
"TMEM237","65062"
"AK5","26289"
"RPS13","6207"
"GABRG1","2565"
"TSPYL4","23270"
"VTI1B","10490"
"LINC01085","152742"
"SNORD114-17","767595"
"NFE2L3","9603"
"AFMID","125061"
"WDHD1","11169"
"ATG12","9140"
"SYNPO2","171024"
"LINC01315","102723775"
"PRPF40A","55660"
"BARX2","8538"
"EHF","26298"
"ITPKA","3706"
"CCNY","219771"
"LUZP2","338645"
"PLPPR4","9890"
"LINC02447","730971"
"EIF1B","10289"
"LATS2","26524"
"NIFK","84365"
"KLHL7","55975"
"LEO1","123169"
"C3orf38","285237"
"UBE2E2","7325"
"OPTN","10133"
"UCHL5","51377"
"CNOT6","57472"
"NDC1","55706"
"LARP6","55323"
"PDS5A","23244"
"PPP1R16B","26051"
"SNORD114-28","767609"
"SPTY2D1","144108"
"CYP26A1","1592"
"P2RX7","5027"
"TMEM126A","84233"
"GIPR","2696"
"CCDC47","57003"
"COA5","493753"
"ARHGEF37","389337"
"UBXN4","23190"
"MAN1A2","10905"
"GALNT7","51809"
"MRPS23","51649"
"MEX3A","92312"
"TXNDC17","84817"
"SCAF11","9169"
"LSM3","27258"
"ZDHHC9","51114"
"EXOC6","54536"
"MMS22L","253714"
"MFSD6","54842"
"EIF3H","8667"
"EI24","9538"
"LOC643327","643327"
"FIS1","51024"
"INTS12","57117"
"WDR82","80335"
"PPP1R3D","5509"
"TMEM242","729515"
"PLK2","10769"
"GPR63","81491"
"PDE11A","50940"
"USP38","84640"
"B3GALT1","8708"
"GMNC","647309"
"NUCB2","4925"
"DSC1","1823"
"HNRNPH2","3188"
"ZNF525","170958"
"AHCYL1","10768"
"STC2","8614"
"KIAA1549L","25758"
"DNAJA2","10294"
"WDR36","134430"
"HIKESHI","51501"
"MIR563","693148"
"BLOC1S5-TXNDC5","100526836"
"CBX8","57332"
"CNTN5","53942"
"WBP4","11193"
"AGAP1","116987"
"COL17A1","1308"
"INTS6-AS1","100507398"
"PTCD2","79810"
"FLJ37201","283011"
"SENP2","59343"
"ADRA2C","152"
"EXOSC3","51010"
"ARL2","402"
"SPATA13","221178"
"HNRNPR","10236"
"RDH14","57665"
"ZNF350","59348"
"FANCL","55120"
"KBTBD11","9920"
"MTCH1","23787"
"CNRIP1","25927"
"C5orf15","56951"
"MIR581","693166"
"MEX3C","51320"
"PGAP1","80055"
"SMIM20","389203"
"STRAP","11171"
"TMEM192","201931"
"MIR4761","100616414"
"PTPDC1","138639"
"PRRX1","5396"
"ZBTB2","57621"
"ADNP","23394"
"TPM3P9","147804"
"CDCA2","157313"
"FSIP2-AS1","107985781"
"PABPC5","140886"
"SERF1A","8293"
"SMU1","55234"
"HCG11","493812"
"DCLRE1C","64421"
"MRPS10","55173"
"SERF1B","728492"
"TBCEL","219899"
"BHLHE41","79365"
"HPS3","84343"
"SCAI","286205"
"SNX27","81609"
"METTL15","196074"
"ZCCHC24","219654"
"ATP6V1B2","526"
"LRP11","84918"
"PRRC1","133619"
"SDCCAG8","10806"
"GTF2H2C","728340"
"ALG14","199857"
"CNKSR2","22866"
"RCBTB2","1102"
"HENMT1","113802"
"HEATR5A","25938"
"DCTN5","84516"
"SNORD116-18","100033430"
"ERV3-1-ZNF117","109504726"
"THRB-AS1","644990"
"HCN1","348980"
"ZNF426","79088"
"ARHGEF3","50650"
"CHCHD2","51142"
"TRMT5","57570"
"SUMO2","6613"
"DZIP3","9666"
"VAPB","9217"
"RPL3","6122"
"PLD4","122618"
"HS3ST4","9951"
"ITM2B","9445"
"HECW2","57520"
"CHD9","80205"
"FBXO30","84085"
"MAS1","4142"
"WDR44","54521"
"SLC33A1","9197"
"THAP12","5612"
"NEURL1B","54492"
"BAALC","79870"
"PRSS16","10279"
"GNPDA2","132789"
"MIR4731","100616125"
"RNF146","81847"
"B3GALNT1","8706"
"LINC02055","107986980"
"PRMT6","55170"
"ARL2BP","23568"
"LSM14A","26065"
"LINC00460","728192"
"PHOSPHO2-KLHL23","100526832"
"DEPDC1","55635"
"MIR3198-2","100616400"
"ROCK2","9475"
"LURAP1L","286343"
"PDP2","57546"
"SULT4A1","25830"
"ZNF484","83744"
"DCAF10","79269"
"GEMIN6","79833"
"SNX12","29934"
"ATP9A","10079"
"FOXO3","2309"
"HTR1F","3355"
"ARL11","115761"
"RAB33B","83452"
"CALU","813"
"TH2LCRR","101927761"
"SRSF12","135295"
"ZMYM2","7750"
"PIN4","5303"
"OSGEPL1","64172"
"DMXL2","23312"
"CPNE8","144402"
"ARID4B","51742"
"GRIN3A","116443"
"TOM1L1","10040"
"MRPL51","51258"
"UBA6","55236"
"CCDC88A","55704"
"RABGAP1L","9910"
"CCDC85A","114800"
"UFC1","51506"
"SNORA7A","619563"
"PPM1E","22843"
"CEP70","80321"
"ARL6IP6","151188"
"LOC105373378","105373378"
"USP16","10600"
"LINC01881","728323"
"SUCLG2","8801"
"DENR","8562"
"SNORD64","347686"
"ROCK1","6093"
"LOC646030","646030"
"SNCAIP","9627"
"BTF3","689"
"TGDS","23483"
"SNX4","8723"
"SDE2","163859"
"WDFY3","23001"
"C9orf78","51759"
"MAEL","84944"
"ATP6V1H","51606"
"NDFIP1","80762"
"MYNN","55892"
"GNRHR2","114814"
"SH3KBP1","30011"
"IPO8","10526"
"SGIP1","84251"
"INTS7","25896"
"USP32P3","347716"
"NRBF2","29982"
"MRPS35","60488"
"TXNIP","10628"
"ZNF701","55762"
"SOWAHA","134548"
"HERC4","26091"
"UAP1","6675"
"FAM117B","150864"
"ZNF429","353088"
"VPS29","51699"
"RWDD3","25950"
"ARL2-SNX15","100528018"
"FIGN","55137"
"TMEM196","256130"
"LOC101927377","101927377"
"GZF1","64412"
"KEL","3792"
"TUBGCP4","27229"
"STX6","10228"
"ZHX2","22882"
"MIR873","100126316"
"STX12","23673"
"SELENOW","6415"
"SNAP91","9892"
"NUDT2","318"
"KLHL23","151230"
"CFD","1675"
"TRIP13","9319"
"RPL36A-HNRNPH2","100529097"
"IL12A-AS1","101928376"
"PPP1R3C","5507"
"ZNF700","90592"
"MIR6506","102465252"
"ATP5PF","522"
"YWHAG","7532"
"KCNQ3","3786"
"SRGAP2D","100996712"
"MAFB","9935"
"DCTN4","51164"
"UBE2Z","65264"
"FAM91A1","157769"
"PIGX","54965"
"LOC100507002","100507002"
"CWC15","51503"
"PUS7L","83448"
"NAA15","80155"
"MIR1244-1","100302285"
"SYTL5","94122"
"MIOS","54468"
"MRPS6","64968"
"MTMR10","54893"
"CLVS1","157807"
"LY86-AS1","285780"
"LRRC8C","84230"
"C14orf132","56967"
"CCDC39","339829"
"LINC00987","100499405"
"PFDN1","5201"
"ZNF81","347344"
"SARNP","84324"
"SNORD89","692205"
"SLC36A4","120103"
"ELK1","2002"
"SAMD1","90378"
"C4orf33","132321"
"LYRM4-AS1","100129461"
"CBLL1","79872"
"KIF13B","23303"
"PRSS12","8492"
"ZNF493","284443"
"SNX31","169166"
"ZNF518A","9849"
"DEPTOR","64798"
"TSPAN13","27075"
"TMEM52B","120939"
"AP3M1","26985"
"BCL11B","64919"
"IL17RD","54756"
"CCDC91","55297"
"JTB","10899"
"ANAPC13","25847"
"CDC42BPA","8476"
"DAAM1","23002"
"GABARAPL2","11345"
"DNAJC22","79962"
"MSH4","4438"
"SOS2","6655"
"ANKRD28","23243"
"MR1","3140"
"EDNRA","1909"
"RTF2","51507"
"TAS2R10","50839"
"PDZD8","118987"
"MIR21","406991"
"GPRC5B","51704"
"ARMC10","83787"
"ZNF611","81856"
"PRPF18","8559"
"PPP2R2B-IT1","100874361"
"ZNF622","90441"
"ABHD17C","58489"
"ZNF451","26036"
"BNIP3","664"
"FAM107A","11170"
"POLR3GL","84265"
"SAMSN1","64092"
"STEAP3","55240"
"TXNDC5","81567"
"UBE2Q2","92912"
"HTR1A","3350"
"ORC4","5000"
"ZBTB26","57684"
"TAS2R19","259294"
"SMIM26","388789"
"LAMTOR5","10542"
"CCDC169-SOHLH2","100526761"
"RFPL1S","10740"
"ZNF808","388558"
"CHRM3","1131"
"FAM167A","83648"
"PGBD2","267002"
"UBE2J1","51465"
"PPA1","5464"
"LRRC40","55631"
"PPP1R14C","81706"
"WASIR2","100132169"
"SLIT2-IT1","100505893"
"COPS4","51138"
"GAS7","8522"
"EEPD1","80820"
"DYNC1LI1","51143"
"CHCHD4","131474"
"PPM1D","8493"
"ZNF597","146434"
"ZNF292","23036"
"DCBLD2","131566"
"PDSS2","57107"
"SPDL1","54908"
"SFR1","119392"
"ANGEL2","90806"
"HDDC2","51020"
"LINC01415","100132501"
"CLGN","1047"
"TAS2R46","259292"
"GRPEL1","80273"
"AFF4","27125"
"SENP6","26054"
"HSD17B13","345275"
"RCSD1","92241"
"TMCC1","23023"
"DHRS4-AS1","55449"
"CDKN2AIPNL","91368"
"ERRFI1","54206"
"FAM168B","130074"
"ACBD3","64746"
"AK4","205"
"CWC27","10283"
"FAIM","55179"
"RBM27","54439"
"ZNF442","79973"
"KCTD9","54793"
"TOMM22","56993"
"TSPYL1","7259"
"GID4","79018"
"GAREM1","64762"
"SOS1","6654"
"ZNF473","25888"
"SNORD53","26796"
"TMEM230","29058"
"FAXDC2","10826"
"ASCC3","10973"
"SPRYD3","84926"
"ZEB1","6935"
"RPL27A","6157"
"PITHD1","57095"
"C1QTNF5","114902"
"MFRP","83552"
"WDR26","80232"
"ZNF639","51193"
"RPS6KA6","27330"
"RNMT","8731"
"TRIM56","81844"
"GNPAT","8443"
"CPEB1-AS1","283692"
"CCDC25","55246"
"NIPA1","123606"
"SAE1","10055"
"SF3B6","51639"
"ARIH1","25820"
"SNRNP25","79622"
"P2RY12","64805"
"SAP30","8819"
"PANX1","24145"
"LOC101927314","101927314"
"RPLP0","6175"
"TMEM117","84216"
"ZNF470","388566"
"ZNF697","90874"
"TMEM232","642987"
"MIR4709","100616211"
"TXNDC16","57544"
"MIR561","693146"
"CYP27C1","339761"
"RPS10","6204"
"MIR4666B","100847047"
"CASK","8573"
"PDCD10","11235"
"SNORD115-47","100036567"
"IREB2","3658"
"IGF1","3479"
"CASC15","401237"
"LYSMD1","388695"
"TRIM16L","147166"
"DENND5A","23258"
"TEX29","121793"
"DAB2","1601"
"USO1","8615"
"POP4","10775"
"BBIP1","92482"
"PNMA8A","55228"
"ZBTB10","65986"
"ALOX15","246"
"ZNF529","57711"
"RGS14","10636"
"KCTD14","65987"
"INTS13","55726"
"FBXO3","26273"
"ZFP37","7539"
"C1QTNF6","114904"
"LINC01560","203414"
"RPS19","6223"
"LOC101929130","101929130"
"TCEANC","170082"
"DDN","23109"
"CASC3","22794"
"CKS1B","1163"
"CCDC13-AS1","100874114"
"EYA4","2070"
"KBTBD2","25948"
"ERCC6L2","375748"
"CDS2","8760"
"FKBP7","51661"
"ZNF204P","7754"
"DHRS4L2","317749"
"SSTR2","6752"
"RRN3","54700"
"RPL13","6137"
"ZNF287","57336"
"RBSN","64145"
"HIGD1A","25994"
"JADE1","79960"
"FKBP1A","2280"
"CDADC1","81602"
"MKX","283078"
"DRD1","1812"
"FMO3","2328"
"RNF169","254225"
"SKA2","348235"
"ZNF180","7733"
"MFNG","4242"
"SMG8","55181"
"RAP2C","57826"
"CPEB3","22849"
"ZNF572","137209"
"MBLAC2","153364"
"LINC00343","144920"
"ENKUR","219670"
"EMB","133418"
"MCM6","4175"
"GPR88","54112"
"CCDC144A","9720"
"GPR137B","7107"
"SYNJ2BP","55333"
"SCN7A","6332"
"CCNT1","904"
"SNX5","27131"
"SYT14","255928"
"MVB12B","89853"
"DESI2","51029"
"RAB5A","5868"
"RSRC2","65117"
"SRPRB","58477"
"LILRA1","11024"
"UBR7","55148"
"CDKN3","1033"
"KLHL12","59349"
"RALGPS2","55103"
"MXRA5","25878"
"LINC01680","105371660"
"EEF1B2","1933"
"RDH11","51109"
"KIAA1191","57179"
"PPP1R21","129285"
"SPATA31C1","441452"
"SLC35A3","23443"
"PREX2","80243"
"TATDN1","83940"
"FGF5","2250"
"THY1","7070"
"PEX2","5828"
"LOC389705","389705"
"ID2","3398"
"RPS26","6231"
"KRBOX4","55634"
"LINC00645","100505967"
"DCAF13","25879"
"ZNF793-AS1","101927720"
"WDPCP","51057"
"PSMA2","5683"
"RPL31","6160"
"TIGD2","166815"
"S100A6","6277"
"ZNF33B","7582"
"MIR423","494335"
"POLE3","54107"
"PIGY","84992"
"PYURF","100996939"
"SFT2D1","113402"
"DNMBP-AS1","100188954"
"TMOD3","29766"
"GULP1","51454"
"POLR3G","10622"
"BANK1","55024"
"UACA","55075"
"NEDD4L","23327"
"GGPS1","9453"
"LINC00294","283267"
"COX7A2L","9167"
"STOX2","56977"
"PLEKHA8","84725"
"LINC01945","101928067"
"MYH15","22989"
"MATN2","4147"
"STMP1","647087"
"RNF32","140545"
"RIMKLA","284716"
"SLC40A1","30061"
"NEXMIF","340533"
"MIR6852","102465513"
"CHAC1","79094"
"LINC00222","387111"
"ZNF286A","57335"
"IQCJ","654502"
"PDHB","5162"
"SYAP1","94056"
"SLC9B2","133308"
"MRPS28","28957"
"MED7","9443"
"RC3H1","149041"
"TBC1D31","93594"
"FGF13","2258"
"TSPAN33","340348"
"BRAF","673"
"YTHDC1","91746"
"PADI2","11240"
"SHMT1","6470"
"FBXO27","126433"
"MRPL18","29074"
"CCR5","1234"
"EFCAB7","84455"
"PFN4","375189"
"TTL","150465"
"ZNF766","90321"
"LAPTM4B","55353"
"SOHLH2","54937"
"IDI1","3422"
"TIFA","92610"
"SYNE3","161176"
"ABCB7","22"
"KBTBD7","84078"
"DERL2","51009"
"NREP","9315"
"LIX1L","128077"
"ESCO1","114799"
"SNORD102","26771"
"FAM87A","157693"
"USP33","23032"
"AFG1L","246269"
"SEC11C","90701"
"EIF4E2","9470"
"SLC35B3","51000"
"PDLIM5","10611"
"LINC00842","643650"
"VIRMA","25962"
"MIR548V","100422850"
"HUNK","30811"
"DSG1","1828"
"LINC00877","285286"
"ARHGEF26-AS1","100507524"
"SNORA104","106635534"
"KANSL1L","151050"
"SNAI2","6591"
"SLC7A11","23657"
"CAPG","822"
"TTBK2","146057"
"CTDNEP1","23399"
"TOMM34","10953"
"KIAA1586","57691"
"DHRS7C","201140"
"RAD17","5884"
"ADCK2","90956"
"RNF145","153830"
"ANK3","288"
"SNORA40","677822"
"GUSBP9","118126072"
"CYB5B","80777"
"FAM200A","221786"
"HNRNPLL","92906"
"QSER1","79832"
"SRFBP1","153443"
"GTF2A1","2957"
"SERPINI2","5276"
"SNX7","51375"
"LINC01018","255167"
"ACTR8","93973"
"LINC01750","643355"
"CYB5R4","51167"
"TIGD7","91151"
"NOP10","55505"
"MFF","56947"
"COQ10B","80219"
"NIFK-AS1","254128"
"TESPA1","9840"
"NEUROD2","4761"
"ARHGAP22","58504"
"WDFY1","57590"
"SUV39H2","79723"
"CHP1","11261"
"TCP11L1","55346"
"MMACHC","25974"
"BCAS2","10286"
"FAM181A","90050"
"C11orf87","399947"
"USP25","29761"
"LOC101593348","101593348"
"LSM1","27257"
"TXNDC15","79770"
"PCNA","5111"
"SNX15","29907"
"SRSF10","10772"
"SCD5","79966"
"TRPV3","162514"
"RPL39","6170"
"NUDT10","170685"
"CRB1","23418"
"HIPK1","204851"
"FMN1","342184"
"SNTB1","6641"
"PAXIP1-AS2","100132707"
"LINC01978","101928738"
"GABARAP","11337"
"C3orf33","285315"
"RAD51AP2","729475"
"WASF2","10163"
"CNGB3","54714"
"BRWD3","254065"
"ARHGAP26","23092"
"POLR3K","51728"
"POU2AF1","5450"
"HNRNPUL2","221092"
"COPS3","8533"
"B3GAT1","27087"
"SYT13","57586"
"EFCAB10","100130771"
"MRPS33","51650"
"OR13C5","138799"
"NUDC","10726"
"FN3KRP","79672"
"ZNF510","22869"
"UBASH3B","84959"
"STARD3NL","83930"
"SKP2","6502"
"C9orf153","389766"
"NAA16","79612"
"DHFR2","200895"
"MSL1","339287"
"ZNF800","168850"
"DGKI","9162"
"MT3","4504"
"NDUFA8","4702"
"TAS2R31","259290"
"GHITM","27069"
"LRIF1","55791"
"NOMO2","283820"
"KATNAL2","83473"
"PDCL3","79031"
"CPXM2","119587"
"LRRC4C","57689"
"ZHX1-C8orf76","100533106"
"GNG8","94235"
"CCDC102A","92922"
"DENND5B","160518"
"FAM210B","116151"
"ZNF138","7697"
"TMEM60","85025"
"WDR3","10885"
"KCNV1","27012"
"NUFIP1","26747"
"ZPR1","8882"
"SNORD155","109623450"
"UTP23","84294"
"SLC4A8","9498"
"ZNF658","26149"
"ZNF474","133923"
"RALGAPA1","253959"
"PCDH10","57575"
"FOXO3B","2310"
"LEPROTL1","23484"
"DDR1","780"
"ARHGAP19","84986"
"CYSLTR1","10800"
"RPUSD4","84881"
"MIR2681","100616110"
"FAM135A","57579"
"DCAF7","10238"
"MSL2","55167"
"DUSP22","56940"
"GUSBP3","653188"
"COA3","28958"
"INPP5F","22876"
"SIAH2","6478"
"MIR4482","100616323"
"PTH2R","5746"
"GNB4","59345"
"DACT3","147906"
"MIR639","693224"
"SREK1","140890"
"PKN2-AS1","101927891"
"LRRC59","55379"
"EPDR1","54749"
"CFAP36","112942"
"FMO4","2329"
"MFSD14B","84641"
"LYAR","55646"
"SLC44A3","126969"
"CSGALNACT2","55454"
"SLTM","79811"
"TBCK","93627"
"TMEM244","253582"
"TK1","7083"
"PEAK3","374872"
"GPC6","10082"
"NOL7","51406"
"EPB41L2","2037"
"MIR421","693122"
"PLEKHM3","389072"
"FAM114A1","92689"
"LHX2","9355"
"GOLT1B","51026"
"IFT57","55081"
"ZRANB2","9406"
"NEDD1","121441"
"ZNF564","163050"
"CD4","920"
"GGNBP2","79893"
"TET1","80312"
"CCEPR","105682749"
"SP2-AS1","100506325"
"PCMTD2","55251"
"CEP57L1","285753"
"NGDN","25983"
"ZDHHC15","158866"
"COL19A1","1310"
"MIR1537","100302139"
"RAP1B","5908"
"KIF3B","9371"
"PEAK1","79834"
"NKAIN3","286183"
"HTR1D","3352"
"NLN","57486"
"MTIF3","219402"
"PIWIL4","143689"
"MS4A14","84689"
"TOMM5","401505"
"IPO13","9670"
"TMEM181","57583"
"EFL1","79631"
"ANOS1","3730"
"FBP1","2203"
"FCF1","51077"
"FBXL4","26235"
"MON1A","84315"
"CAMKK2","10645"
"BDKRB2","624"
"ARFGEF1","10565"
"ENDOG","2021"
"ZNF519","162655"
"RALGAPB","57148"
"GTF3C4","9329"
"VCPKMT","79609"
"TRPS1","7227"
"ALMS1-IT1","100874291"
"TFPT","29844"
"RAN","5901"
"PDE4D","5144"
"BAZ1B","9031"
"NFIA-AS2","100996570"
"ZDHHC12","84885"
"TET2-AS1","104384744"
"ZC2HC1A","51101"
"ERCC8","1161"
"ZNF329","79673"
"METTL13","51603"
"PIKFYVE","200576"
"CCNDBP1","23582"
"C18orf21","83608"
"RAB7A","7879"
"TIMM8B","26521"
"DPY19L3","147991"
"ATF6","22926"
"TMIE","259236"
"KCTD3","51133"
"ENTPD4","9583"
"COX18","285521"
"TPPP","11076"
"SRSF8","10929"
"LINC01530","729975"
"LINC01507","101927477"
"HABP4","22927"
"GPX1","2876"
"MRPS17","51373"
"LEMD3","23592"
"SNORD49B","692087"
"CASP7","840"
"RAD51C","5889"
"SELPLG","6404"
"PPP1R12B","4660"
"CIDEA","1149"
"HES6","55502"
"GJA9-MYCBP","100527950"
"SARAF","51669"
"SMARCAD1","56916"
"ZNF771","51333"
"SIGIRR","59307"
"LINC01232","102725509"
"TMEM182","130827"
"RNF41","10193"
"FAM136A","84908"
"CD6","923"
"LGALSL","29094"
"MRPS18C","51023"
"FAM53B-AS1","101927944"
"DNAJC13","23317"
"WNT7A","7476"
"TUBD1","51174"
"BORCS7","119032"
"C2orf42","54980"
"WDFY4","57705"
"IRAK1BP1","134728"
"LUZP1","7798"
"MORC4","79710"
"LIAS","11019"
"ZNF252P-AS1","286103"
"TNFAIP8L1","126282"
"PWRN3","101928840"
"ADGRA3","166647"
"CNDP2","55748"
"DMAC1","90871"
"ARFGEF3","57221"
"NMNAT2","23057"
"NRN1","51299"
"NIPAL1","152519"
"TESK2","10420"
"MIR6073","102464826"
"ZNF620","253639"
"PKP2","5318"
"EIF3C","8663"
"SMC6","79677"
"RBL1","5933"
"LINC01355","100996511"
"WASHC3","51019"
"RALGAPA1P1","26134"
"CALM3","808"
"SNORA63E","109617007"
"TTC3","7267"
"UTP18","51096"
"SNHG6","641638"
"SNHG7","84973"
"LAT2","7462"
"CRLS1","54675"
"BMS1P22","106480334"
"MPC1","51660"
"MIR4720","100616150"
"SYDE2","84144"
"CTPS2","56474"
"ZNF709","163051"
"KIF16B","55614"
"DESI1","27351"
"RAB3GAP2","25782"
"WDR7","23335"
"GALK2","2585"
"RRAGC","64121"
"NT5DC3","51559"
"BBS12","166379"
"CLUL1","27098"
"ZNF330","27309"
"MIR573","693158"
"PDZRN4","29951"
"EPB41L5","57669"
"SNAPC1","6617"
"ADAP1","11033"
"RNF170","81790"
"PCDHAC2","56134"
"MIR1296","100302150"
"NUBPL","80224"
"MLF1","4291"
"ZFP82","284406"
"ERICH3","127254"
"TRPV5","56302"
"LMBR1","64327"
"TIMM9","26520"
"ARMC8","25852"
"MTERF1","7978"
"MPLKIP","136647"
"ZC3H11A","9877"
"CIR1","9541"
"LOC101927692","101927692"
"TRADD","8717"
"ZC3H6","376940"
"ZNF230","7773"
"RHBDD1","84236"
"DNAJC27","51277"
"ENTPD3","956"
"SLAIN2","57606"
"OTOA","146183"
"PDCD6IP","10015"
"ABRAXAS2","23172"
"MIR3655","100500820"
"PLEKHG3","26030"
"OCIAD1","54940"
"RNF14","9604"
"MICU1","10367"
"BICD1","636"
"MRPL13","28998"
"CHURC1-FNTB","100529261"
"MIR555","693140"
"PHC3","80012"
"EIF3CL","728689"
"MRPL36","64979"
"SLC35B4","84912"
"ATP11A","23250"
"SPC24","147841"
"BIN1","274"
"DAPP1","27071"
"MKLN1-AS","100506881"
"RAB12","201475"
"PRKG2","5593"
"SPTLC3","55304"
"NUF2","83540"
"ZFP30","22835"
"RPL23AP7","118433"
"MEAF6","64769"
"PLEKHH1","57475"
"AMOT","154796"
"MKRN1","23608"
"ZNF638","27332"
"AHCTF1","25909"
"ZCCHC17","51538"
"N4BP2L2-IT2","116828"
"BTRC","8945"
"ARC","23237"
"TMEM45A","55076"
"KCMF1","56888"
"VPS8","23355"
"MYOZ1","58529"
"POU3F3","5455"
"NT5C3B","115024"
"LPAR5","57121"
"JAZF1-AS1","100128081"
"TTN-AS1","100506866"
"RPA3","6119"
"ZNF326","284695"
